Genre1;Genre
Istorii secrete;Irodalom > Szórakoztató irodalom
Fictiune erotica;Erotika > Irodalom
Istorie militara, aparare;Történelem > Hadászat
Familie, sanatate;Életmód, egészség
Metodologie, testare;Tankönyv, segédkönyv > Módszertan
Legislatia muncii;Társadalomtudomány > Jog
Muzeologie;Művészet
Teatru;Irodalom > Szépirodalom > Színművek
Criminologie;Társadalomtudomány > Jog
Ghiduri si harti turistice, atlase;Hobbi, szabadidő > Utazás > Térképek, atlaszok
Filosofia stiintei;Társadalomtudomány > Filozófia > Tudományfilozófia
Natura si mediu;Természettudomány > Biológia > Környezetvédelem, ökológia
Biologie;Természettudomány > Biológia
Drept financiar;Társadalomtudomány > Jog
Alte religii si credinte;Vallás
Medicina;Szakkönyv > Orvosi
Ghiduri si referinte;Hobbi, szabadidő > Utazás > Útikönyvek
Carte straina;Szótár, nyelvkönyv
Navigatie;Hobbi, szabadidő > Sport
Terapii complementare;Szakkönyv > Orvosi
Drept international;Társadalomtudomány > Jog
Sport si recreere;Hobbi, szabadidő > Sport
Religie;Vallás
Neuropsihologie, biopsihologie;Társadalomtudomány > Pszichológia
Obiecte decorative;Művészet > Iparművészet
Turism si calatorii;Hobbi, szabadidő > Utazás
Istoria limbajului;Társadalomtudomány > Nyelvészet
Politologie si guvernare;Társadalomtudomány > Politika
Umor;Irodalom > Szórakoztató irodalom > Humoros
Dezvoltare personala adolescenti;Életmód, egészség
Marketing si comunicare;Társadalomtudomány > Közgazdaság
Comunicare si persuasiune;Társadalomtudomány > Közgazdaság
Publicitate si media;Társadalomtudomány > Média
Medicina clinica si interna;Szakkönyv > Orvosi
Film, TV, radio;Művészet > Film és színház
Mediu si ecologie;Természettudomány > Biológia > Környezetvédelem, ökológia
Psihologia emotiilor;Társadalomtudomány > Pszichológia
Marketing si vanzari;Társadalomtudomány > Közgazdaság
Proprietate intelectuala;Társadalomtudomány > Jog
Retele si comunicatii;Szakkönyv > Informatika > Hálózat
Teoria artei;Művészet
Ocultism si ezoterism;Életmód, egészség > Ezotéria > Okkultizmus, spiritizmus
Buddhism;Vallás > Buddhizmus
Ingrijire si asistenta;Szakkönyv > Orvosi
Dreptul familiei;Társadalomtudomány > Jog
Auto, transport, deplasare;Hobbi, szabadidő > Sport > Autó-motor
Logica;Társadalomtudomány > Filozófia > Nyelvfilozófia, logika
Medicina sportiva;Szakkönyv > Orvosi
Business si economie;Társadalomtudomány > Közgazdaság
Design interior;Művészet > Iparművészet > Belsőépítészet, lakberendezés
Istoria mentalitatilor;Történelem
Drept constitutional;Társadalomtudomány > Jog
Industria comunicarii;Szakkönyv > Informatika
Etica si morala;Társadalomtudomány > Filozófia > Etika, politikafilozófia
Fenomene paranormale;Életmód, egészség > Ezotéria
Doctrine si partide politice;Társadalomtudomány > Politika
Studii interdisciplinare;Társadalomtudomány
Hinduism;Vallás > Hinduizmus
Psihologia criminalistica si legala;Társadalomtudomány > Pszichológia
Lingvistica, dictionare;Társadalomtudomány > Nyelvészet
Stiintele Pamantului;Természettudomány > Földrajz
Inteligenta artificiala;Szakkönyv > Informatika
Fizica;Természettudomány > Fizika
Jocuri de societate;Hobbi, szabadidő > Sport > Kártyajátékok
Agricultura;Szakkönyv > Mezőgazdasági
Dreptul mediului, transport;Társadalomtudomány > Jog
Problemele tinerilor;Társadalomtudomány > Pszichológia
Hobby, jocuri;Hobbi, szabadidő
Tehnici de desen;Művészet
Lifestyle digital;Életmód, egészség
Lifestyle, fashion;Életmód, egészség > Kozmetika, szépség, divat
Aparare nationala;Történelem > Hadászat
Iudaism;Vallás > Judaizmus
Geografie;Természettudomány > Földrajz
Stiinte exacte. Matematici;Természettudomány > Matematika
Farmacologie;Szakkönyv > Orvosi > Gyógyszerészet
Programare, dezvoltare;Szakkönyv > Informatika > Programozás
Computere si internet;Szakkönyv > Informatika
