Title,Price,Author
Micul ghid al stilului. Chanel,56.00,EMMA BAXTER-WRIGHT
Piese pentru pian,40.00,WOLFGANG AMADEUS MOZART
Maini cuminti,49.00,ANA DRAGU
Cunoasterea Sacra,48.00,WILLIAM RICHARDS
"Marea carte a vrajilor, descantecelor si blestemelor",69.90,DAN-SILVIU BOERESCU
Dupa finitudine. Eseu asupra necesitatii contingentei,26.97,QUENTIN MEILLASSOUX
Credinta vs stiinta,39.90,JERRY A. COYNE
Bunicile sunt pentru iubire,39.00,MISTY BLACK
Elogiu esecului,40.00,COSTICA BRADATAN
Pilotul lui Hitler,63.00,C.G. SWEETING
Un singur fir,44.95,TRACY CHEVALIER
Fata cu cimbru in buzunar,29.90,MARIETTA DOBRIN
Vara in care am devenit frumoasa,49.00,JENNY HAN
"Batalia pentru aurul negru al Romaniei, de la Hitler la Stalin",76.95,GAVRIIL PREDA
Sonnets. Sonete,40.01,WILLIAM SHAKESPEARE
Florile uitarii,49.90,SANTA MONTEFIORE
Adele,45.00,SEAN SMITH
Preia controlul,59.00,GINO WICKMAN
Lupta aeronavala de la Constanta din 26 iunie 1941,42.00,IOAN DAMASCHIN
"Somn usor, vise placute!",39.90,KRISTINA ANDRES
De la res cogitans la mintea extinsa,32.00,IONUT MLADIN
Legume de iarna,59.90,HEIDI LOREY
"Ce mai faci, poezie?",38.90,IOANA ISAC
Mati si Capitanul Incredere,30.00,GABRIELA MAALOUF
Librareasa din Paris,49.00,KERRI MAHER
Calendarul cu povesti,18.90,NICOLETA MARINESCU
Peripetiile Alisei in Tara Minunilor,42.42,LEWIS CARROLL
Antreprenori si afaceri clujene de altadata,60.00,GHIZELA COSMA
Povesti despre speranta,42.00,MIHAI MANESCU
Draga tata,54.99,ERNEST HEMINGWAY
Cine este oare Carmen Sandiego?,48.48,REBECCA TINKER
Invata cum sa-ti ingrijesti profund sufletul in 21 de zile,20.00,CHERYL RICHARDSON
Privind inapoi cu deferenta,30.00,TEODOR DIMA
S-a nascut un odoras!,45.00,ALA BUJOR
Mara,24.90,IOAN SLAVICI
Sa te faci ca ploua,42.00,IRIS WOLFF
Codul muncii. Editia a 15-a actualizata la 12 ianuarie 2023,29.00,COSTEL GILCA
O mie si una de dimineti. Nora,42.00,MACEDON TOFENI
Leonardo da Vinci si portretul neterminat,14.90,CHRISTINEPALLUY
Alte cronici de la Snagov,30.00,DAN CRISTEA
Privire din inalt,99.75,DANIEL MEUROIS
Petrecere pana in zori,39.90,F. SCOTT FITZGERALD
Ghidul Sclifositei,45.00,MARIUS MIHALCA
Arta bucuriei,42.50,GOLIARDA SAPIENZA
Sub usa care sopteste,59.00,T.J. KLUNE
Solutii pentru biroul de acasa,29.00,CHRIS PETERSON
Micul Solomonar,35.00,A. E. MIRON
Incercare asupra filosofiei transcendentale,35.00,SOLOMON MAIMON
Analiza financiara pe intelesul tuturor,44.90,BAIU COSMIN
Frumoasa si utila matematica,88.00,ANGELA MUNTEAN
Institutii de drept civil,75.00,SACHE NECULAESCU
O dorinta de Craciun,67.00,LORI EVERT
"Uita de griji, incepe sa traiesti",47.00,DALE CARNEGIE
Ispita idealului,43.00,ADRIAN MIROIU
Uneltele noastre,49.00,DANIELA PRUSSE
"Taceri, ganduri si marturisiri",16.50,MARIUS MARIAN SOLEA
Religia clandestina in documentele politiei secrete,59.00,ANCA SINCAN
Tehnica psihanalizei,59.00,SIGMUND FREUD
Fiziologie medicala,650.00,WALTER BORON
"Hai, nene, la Iunion!",52.80,VERA MOLEA
Instinctul artistic,44.00,DENIS DUTTON
"Adio, fantasme",10.00,NADIA TERRANOVA
Romani din Paris,51.70,LOUIS MONIER
Ruby Fairygale si aurul spiridusilor,28.00,MARLENE JABLONSKI
Explorari in teologie - Spiritul si institutia,55.00,HANS URS VON BALTHASAR
Varsenia. Saga celor renascuti,35.00,SARA NEGURA
Samanul taoist,39.95,MANTAK CHIA
Fericit pana la adanci batraneti,37.00,PAUL DOLAN
De la Pamant la Soare,25.00,DANIELA BESLIU
Hoinar prin Romania,15.00,GREGORY RATEAU
Cum sa fii si una si alta,38.00,ALI SMITH
Dumnezeul credintei si al ratiunii,17.00,ROBERT SOKOLOWSKI
Infidelii,54.99,DANIELA FAUR
Preaiubita,49.00,TONI MORRISON
Povestea doctorului Dolittle,18.00,HUGH LOFTING
Carnete maro II,34.00,AUREL DUMITRASCU
Strain intr-o lume straina,69.00,ROBERT A. HEINLEIN
He Shi daruieste nestemata de jad,22.00,HAN FEIZI
Cea mai frumoasa tara din lume,39.90,OZGE ALTINOK LOKMANHEKIM
Forma lucrurilor. Alfabetul geometriei,29.00,MARCO ANDREATTA
"Multumesc, domnule Panda!",10.00,STEVE ANTONY
"Set albume (Primavara, Vara, Toamna, Iarna)",19.99,FILOFTEIA GRAMA
Amenintarea clasicilor,35.00,LUCIAN-VASILE SZABO
Sentiment Indian,21.00,FERNANDEZ DOMINIQUE
Momente si schite,19.00,ION LUCA CARAGIALE
Mozaicuri de iubire,17.85,MAHMOUD SHUKAIR
"Personaje ale teoriei, fiinte ale fictiunii",50.00,LAURA PAVEL
Prima mea carte cu semne grafice,32.00,LUMINITA ALBU
Danseaza cu Viata,55.00,OANA FILIP
Exista o solutie spirituala pentru orice problema,79.00,WAYNE W. DYER
Straini,40.00,BEATRICE HOLDON
Laureat al norilor,80.00,ION CRISTOFOR
Poeme abandonate in cuvinte,25.00,IOAN F. POP
Chiotitul,35.00,CRISTINA STRUTEANU
WOW in lume,48.00,MINDY THOMAS
Visatoare prin vremi,10.00,ANA HERTA
Cum sa ai putere de negociere,66.00,CATALIN OLTEANU HEEL
Despre vii numai de rau,40.00,TEODORA VESCAN
Bucurestii. Lumea,40.00,AUGUSTIN IOAN
Introducere in istoria designului,49.00,LUMINITA BATALI
"Paisie, staretul manastirii Neamtului",80.00,SERGHIE CETVERIKOV
Oglinda oglinjoara,38.00,MAURA GANCITANO
Matematica 6+,18.00,PETRU JELESCU
Bunicul meu,32.00,EMILIE CHAZERAND
Karma in semnul soarelui,55.00,BERNIE ASHMAN
Intamplari cu Amelin,8.00,ANA ARDELEANU
Politistul lui Dumnezeu,10.50,DANIEL SUR
Un teatru al intervalului,36.00,ROANN BARRIS
Misiunea Ethridge in Romania,15.75,ULRICH BURGER
Casa Focului si a Umbrei,69.99,SARAH J. MAAS
Legatul - Principala dispozitie cuprinsa in testament,45.00,DIANA-GEANINA IONAS
Calea Sufletului,39.90,ANA MARIA DUCUTA
Desertul pentru totdeauna,26.95,OCTAVIAN PALER
Companii de navigatie la gurile Dunarii (1830–1939),52.00,IONEL CONSTANTIN MITEA
Scoala Ardeleana - 4 Volume,321.00,N/A
Fii si indragostiti,34.90,D.H. LAWRENCE
De-ale carturariei de odinioara,25.00,DORU CIUCESCU
Meditatii sub clar de luna,21.00,ANDREI BREABAN
Necunoscuta din Paris,34.99,SANTA MONTEFIORE
"Dictionar de sinonime: lexic, expresii, locutiuni",25.00,ELENA GROSU
Casa Winterborne. Razbunare si curaj,39.90,ALLY CARTER
Cartea fermecata,32.00,E. NESBIT
In inima padurii,42.00,KATHARINE MCEWEN
"Bunicii nostri, eroii nostri. Volumul II",43.75,DAN RAMF
Mai e putin pana treci strada,50.00,LIVIU MIRCEA
Despre maestru si alte intalniri,17.00,NICOLAE TURCAN
Cand infloresc caisii,49.90,GINA WILKINSON
Unora le plac roscatele,40.00,JAN WOLKERS
Si fetitele pot fi rautacioase,39.00,MICHELLE ANTHONY
24 Comentarii pentru pian,34.00,ALFRED MENDELSOHN
Marea carte a emotiilor,49.00,MARIA MENENDEZ-PONTE
Instalatii electrice pas cu pas,45.00,JOSEF KUNC
365 de activitati in aer liber pe care trebuie sa le incerci,39.90,JAMIE AMBROSE
Exercitii grafice,12.00,AURORA GEORGESCU
Vrajile se scriu cu sange,49.90,EMMA TORZS
Invoiala,9.99,GEORGE BALAITA
Pagini bizare,23.00,URMUZ
"Tratat de drept civil. Nasterea, statica, dinamica si stingerea obligatiilor. Fiinta obligatiilor civile",199.00,LIVIU POP
Ce mancam ca sa ne hranim,44.00,GHEORGHE MENCINICOPSCHI
Sanatatea emotionala a copilului de azi,49.90,ALEX GEORGE
Filosofia elenistica,39.90,TONI CARDONA
Sfintii Parinti despre Pocainta,12.00,ADRIAN TANASESCU-VLAS
"Particularitati demografice, etiologice si clinice ale arsurilor accidentale la copii",50.00,GEORGETA BURLACU
Hannah si comoara elfului primejdios,30.00,STEPHANIE BENSON
Cunoaste Romania centenara,80.00,IULIAN VACAREL
Piata Romanilor,27.00,ADRIAN PETRU STEPAN
Dor calator,29.99,ALEXANDER HAUSVATER
Ursoaica din vis,42.00,MIMI THEBO
"Orasul minciunilor. Dragoste, sex si moarte la Teheran",15.00,RAMITA NAVAI
Peter Pan,9.00,J.M. BARRIE
Duplex Taranul Interimar / Darzarta Barza,32.15,SIMONE GYORFI
Patinele de argint,12.00,MARY-ELISABETH MAPES DODGE
Barbati pe tocuri,29.95,MARCEL MANEA
Protocolul Varsovia,52.00,STEVE BERRY
Faca-se voia,39.00,INES DUMITRIU
Prizonieri in noaptea polara,59.90,JULIAN SANCTON
Moara cu noroc,17.00,IOAN SLAVICI
Muntele gol. Volumul I,42.00,ALAI
Codicilul,44.50,LILI CRACIUN
Marele singuratic,35.00,MARIN PREDA
Parintele Paolo Tablino,15.75,GIOVANNI DUTTO IMC
Notiuni de baza,35.00,PETR KRAL
Tata nu poate sa adoarma,23.00,ANNA LENA AMTHOR
Silvan despre Silvan,74.90,SILVAN D. IONESCU
Gaetano Donizetti,24.09,GRIGORE CONSTANTINESCU
Ignoranta emotionala,69.90,DEAN BURNETT
"Va spun sincer, mint perfect! Sau arta compromisului",44.90,WILHELM JOHNEN
Cari Mora,45.00,THOMAS HARRIS
Cand ne vom reintalni,59.99,REBECCA YARROS
Estetica Lui Vladimir Soloviov,19.00,MICHELINE TENACE
Biblia ilustrata,299.90,N/A
Cele mai frumoase poezii pentru copii,39.99,AUROREI GEORGESCU
Pur si simplu continua sa cumperi,59.00,NICK MAGGIULLI
Dictionar auafed 4,33.00,DORU CIOCANU
Codul de procedura penala si Legea de punere in aplicare,25.00,PETRUT CIOBANU
Totul despre cainele tau,91.74,PIERRE ROUSSELET-BLANC
Prima mea biblioteca. Romeo si Julieta,24.99,WILLIAM SHAKESPEARE
Jurnalul unui om sanatos,52.00,ADRIAN IENIN
Atlas Istorie Universala,25.00,PLOPEANU SORINA
Rigor mortis,35.00,ION TOANTA
Mindfulness urban,60.00,GASPAR GYORGY
Procesul Margaretelor,35.00,ISSABELA COTELIN
Casuta lui Snowie,37.00,ANGELICA LAMBRU
Mindfulness pentru anxietate,60.00,SUSAN M. ORSILLO
Scriitori si indragostiti,14.70,LILY KING
Ce-ar face Freud in locul tau?,22.50,SARAH TOMLEY
Povesti de Craciun,36.00,CRINA MICTARIU
"Corpul meu, trauma mea, eul meu",65.00,FRANZ RUPPERT
Anatomia si fiziologia lui A,40.00,CHRISTIAN CRACIUN
Nu m-am simtit niciodată singur,6.30,JOSEPH RATZINGER
Bold,29.90,JULIAN CLARY
Labirintul Karmei,92.40,DANIEL MEUROIS
Omul companiei,23.12,JOSEPH FINDER
Printesa de hartie,59.00,ERIN WATT
Necredincioasa,49.00,AYAAN HIRSI ALI
Bipolarul de la mansarda,12.00,GELU VLASIN
Omul amfibie,17.00,ALEKSANDR BELEAEV
Evolutia mass-media locale in postcomunism,69.00,IOAN LAZA
Ion Ianosi. 80,31.50,AURA CHRISTI
Decalogul,10.50,CLAUDIU DUMEA
Hotelul Labuta Fermecata,29.99,FELINE LANG
Sistemul autoritatilor publice din Romania,25.00,CATALINA SZEKELY
Nicolae al II-lea. Ultimul tar,49.95,HENRI TROYAT
Romania Mare - un ideal implinit,73.00,EUGEN STANESCU
Integrama carnaval - Nr. 67,9.00,N/A
Romante de iubire dulce‐amara. Romances de douces‐ameres amours,65.00,ION MINULESCU
Revista - Terapie de basm nr. 7,12.08,N/A
Procrastinarea intentionata,43.00,RORY VADEN
Arta japoneza de a trai,65.00,JO PETERS
Intamplari cu Sfantul Sfarleaza,30.00,MIHAI MANIUTIU
Pisici pe acoperis,33.00,RASVAN POPESCU
De vorba cu nebunia,79.90,MARK GOULSTON
Ce tare ardea privirea lui Picasso,38.00,EUGENE EBODE
Furnicile uriase,32.00,IOAN SUCIU
Spiritul pendulator,24.00,IULIAN CHIVU
Animale si insecte,34.50,EVE HERRMANN
In visul meu am un cutit in mana,42.00,ASHLEY WINSTEAD
B-MAX. Jurnalul unui uberist,25.00,MARIUS CARBUNESCU
Ceva ce nu s-a mai vazut,42.42,ASHLEY SPIRES
Pacatele fiului - Cartea a doua,59.99,THEO ANGHEL
Echipe de vis,49.00,SHANE SNOW
Gate C30,32.00,MATTHEW MOCKRIDGE
Manual de limba muta,12.72,SORIN SERB
Istoria ilustrata a francmasoneriei din Moldova istorica. Volumul III,120.00,CATALIN TURLIUC
Instrumentele muzicale ale poporului roman,50.00,TIBERIU ALEXANDRU
Antologie de povestiri,50.40,XUE MO
Fabrica de fantome,39.00,JENNY MCCARTENEY
Evreii,40.00,NICOLAE ESINENCU
Tina si primele ei patine,54.99,MARILYN SINGER
Furtuna pe care am dezlantuit-o,55.00,VANESSA CHAN
Manualul si fragmente,22.05,EPICTET
"Idear. Cioran, postistoria si principiul antropic",26.25,MIRCEA LAZARESCU
Autismul,39.90,JOSE RAMON ALONSO PENA
Enjoy time,56.00,CATHERINE BLYTH
Craciunul,69.00,MIHAIL ALDASIN
Creaturile pamantului,48.00,ADRIENNE BARMAN
Rusoaica,20.00,GIB I. MIHAESCU
Deportarea romilor,49.90,IOAN VALENTIN NEGOI
Bach - Inventiuni la doua voci (pentru pian),25.00,JOHANN SEBASTIAN BACH
De la copilarie la adolescenta,19.80,MARIA MONTESSORI
Codul circadian,59.00,SATCHIN PANDA
Pedro Paramo,69.00,JUAN RULFO
Mintea sovietica,55.00,ISAIAH BERLIN
30 lectii de viata,77.00,KARL PILLEMER
In 202... voi avea o mentalitate pozitiva,20.00,ANDREEA PERESCU
Copilaria lui Kaspar Hauser,29.95,BOGDAN-ALEXANDRU STANESCU
Dincolo de transee,32.50,NANDOR BARDI
Miaunica si Grivei,12.00,ELENA BOLANU
"Joci negru, castiga rosu",21.00,ERIC KNIGHT
Cum am iesit nedivortat din carantina,38.00,ADRIAN VOICU
Momente si schite,39.99,ION LUCA CARAGIALE
Marketing si management,11.00,LUMINITA NICOLESCU
Astrologia de la Cer la Pamant,42.00,VALERIU PANOIU
O teorie a ciudateniei,45.00,PAVLA HORAKOVA
Plotin. Despre destin,20.00,DAN TOMULET
Medicina ancestrala,68.00,DANIEL FOOR
Hotel Bristol,25.00,JOSEF STRAKA
Arta improvizatiei scenice,28.35,GEORGE V. GRIGORE
Biblioteca lui Gelu,59.00,GELU DIACONU
Jurnalul fericirii. Manuscrisul de la Rohia,75.00,N. STEINHARDT
Nu sunt eu,49.90,MAIA MORGENSTERN
Bulgaria - Litoralul,35.00,TOMA RITNER
Dragostea e fara sfarsit,50.00,SIMONA COPIL
Ranile copilului interior,44.00,GENEVIEVE KREBS
Pill Pillgrim: In cautarea ghindei de aur,49.00,ANONIMUS
Hana,59.00,ALENA MORNSTAJNOVA
Anul care iti va schimba viata,54.99,BRIANNA WEST
"Parinti binevoitori, copii receptivi",22.50,LAURENCE DUDEK
Universul valoric al profesorului,28.99,GABRIEL ALBU
Nimeni nu paraseste Palo Alto,59.00,YANIV ICZKOVITS
Micul mecanic al cartilor,29.90,EZGI BERK
Constantin Blendea,145.00,CALIN-ALEXIU STEGEREAN
Varsava,29.99,ANA DONTU
Secretul pacientei,69.99,LORETH ANNE WHITE
Maidanul cu dragoste,39.90,GEORGE MIHAIL ZAMFIRESCU
Haideti sa coloram - pentru fetite,8.50,DANA POPESCU
Inventarea spatiului,43.00,CIPRIAN MIHALI
Casa Secretelor,48.48,CHRIS COLUMBUS
Craciunul meu de basm,24.99,COLECTIV ARAMIS
Portalul Albuquerque,54.00,PETER CLINES
Rusia de la a treia Roma la omuletii verzi,47.13,FLORIAN BICHIR
Un balon pe nume Tica,39.00,OLINA ORTIZ
Regele din Bissap,39.95,DANIELA ULIERIU
Vanda povesteste,19.80,TATIANA MARGESCU
Evangelium Vitae,11.55,IOAN PAUL AL II-LEA
"Invatam, jucandu-ne! Jocuri didactice. Limba si comunicare",10.00,ELENA MANDRU
Cosmarul de la Killman Creek,34.95,RACHEL CAINE
Abandonul Calului Negru,24.99,VICTOR ALARTES
Istoria prozei fantastice romanesti,100.00,GHEORGHE GLODEANU
Semnalul de 3%,49.00,JASON KELLY
O saptamana in aeroport,23.90,ALAIN DE BOTTON
Talentata Clementina,34.34,SARA PENNYPACKER
Povesti din gara. 100 de calatori din Gara de Nord,13.90,VLAD CIOPLEA
Femei in Razboiul celor Doua Roze,49.95,PHILIPPA GREGORY
Cuvintele unui mare Roman,60.00,ION I.C. BRATIANU
Magul de la Kremlin,39.90,GIULIANO DA EMPOLI
Numele inghetatei,36.75,RAISA ROSCA
Fluturele Monarh,34.00,LEONIDA IVEL
In orchestra de la Auschwitz,48.00,JEAN-JACQUES FELSTEIN
Bruno vrea la olita,25.90,SANDRA GRIMM
Dialog,18.01,PAUL GOMA
Iepurele a ascultat,38.38,CORI DOERRFELD
Limba si literatura romana - Manual pentru studentii straini din anul pregatitor,61.00,CRISTINA VALENTINA
Usa ingusta,27.00,ANDRE GIDE
Invat numerele,34.50,N/A
"Ce este ""luminarea""?",22.00,ALEXANDRU BOBOC
Un pestisor pentru Luna,42.42,LISA AISATO
Fata de la Savoy,79.00,HAZEL GAYNOR
Povesti cu dorinte,45.00,INESA TAUTU
Karlsson-de-pe-acoperis zboara din nou,42.42,ASTRID LINDGREN
Fa Rai din ce ai!,46.00,DAN ORGA-DUMITRIU
"Condori, lame si... cornutele bisericii si politicii din Peru",19.90,DORU CIUCESCU
Morcoveata,15.00,JULES RENARD
Asemeni marii,49.00,SATVIR KAUR SINGH
Hanul lui Almayer,34.99,JOSEPH CONRAD
52 de jetoane pentru a invata sa citesti,22.00,EMMANUELLE POLIMENI
Retete pentru oameni mici si mari,70.00,LIZZIE MABBOTT
Maniunea,64.00,NARINE ABGARIAN
Calendarele poporului roman - Februarie,26.97,ANTOANETA OLTEANU
In fiecare zi moare un celebru,23.10,ALEX PETRE POPESCU
Bucuria iernii,25.00,FLORENTINA GALBINASU
Organizatia fara teama,65.00,AMY C. EDMONDSON
Secretul din padure,59.00,KATE ALICE MARSHALL
In cautarea visurilor,14.70,DRAGOS BRATASANU
Virtutea nationalismului,59.00,YORAM HAZONY
Arborele de crocodili,75.00,CRISTINA DEUTSCH
Cum sa depasim crizele familiale,18.00,ELENA MOROZOVA
Descoperirea adevarului in cadrul procedurilor judiciare,42.00,IOAN LES
Dictionar roman-spaniol si spaniol-roman pentru toti,79.90,VALERIA NEAGU
Desavarsirea Cercului,26.25,MICHAEL LAITMAN
Napoleon Bonaparte in doua sute de maxime comentate,40.00,MIRCEA CHELARU
Crestinism pur si simplu,39.00,C.S. LEWIS
Printesa Cerului,40.00,RINO ALAIMO
Carare spre nicaieri,33.72,SAMUEL CIOCAN
Rostitorul,15.00,OVIDIU CRISAN
Zapezile de pe Kilimanjaro si alte povestiri,59.95,ERNEST HEMINGWAY
Eros si Agape in viata conjugala,7.00,JOSE NORIEGA
Poezii,24.90,MIHAI EMINESCU
