Category,Category_Std
" Jóslás, álomfejtés, tarot", joslas alomfejtes tarot
Clasa a II-a - Limba engleza,clasa a iia  limba engleza
 Internet, internet
 Fémművesség, femmuvesseg
 Magyar fotóművészet, magyar fotomuveszet
" Meditáció, jóga", meditacio joga
 Carti cu activitati, carti cu activitati
Safari,safari
Ingineri,ingineri
Carte românească,carte romaneasca
" Politique, Société, Travail ", politique societe travail 
 Literatura maghiara, literatura maghiara
 Gyógypedagógia , gyogypedagogia 
 Gyermeknevelés, gyermekneveles
 Ficción , ficcion 
Fantasy,fantasy
 Asztrológia, asztrologia
Pentru prieteni,pentru prieteni
"Istorie militara, aparare",istorie militara aparare
 Csillagászat, csillagaszat
 Kunstreiseführer, kunstreisefuhrer
Drept comercial,drept comercial
" Humor, Cartoons, Comics", humor cartoons comics
 Ufológia, ufologia
" Állam-, jogtudomány", allam jogtudomany
Carti cu jucarie,carti cu jucarie
 Színművek, szinmuvek
Radu Sergiu Ruba,radu sergiu ruba
 Filologie, filologie
 Estudios literarios , estudios literarios 
 6-10 éveseknek , 610 eveseknek 
 Gyerekeknek, gyerekeknek
Civilizatii Mitologie,civilizatii mitologie
 Borászat, boraszat
 Versek, versek
 Istorii Secrete, istorii secrete
" Ciencias sociales, Derecho, Economía ", ciencias sociales derecho economia 
 Közgazdaság, kozgazdasag
" Medizin, Pharmazie ", medizin pharmazie 
Istoria Europei,istoria europei
Atlase Enciclopedii,atlase enciclopedii
Aventura,aventura
 Társadalompolitika, tarsadalompolitika
"Familie, sanatate",familie sanatate
" Wellness, fitness, jóga", wellness fitness joga
Literatura Romana,literatura romana
" Fahrzeuge, Flugzeuge, Schiffe ", fahrzeuge flugzeuge schiffe 
 logica, logica
" Théologie, Religion ", theologie religion 
 Ciencia de educación , ciencia de educacion 
Romane distopice,romane distopice
"Crime, mister",crime mister
 Ifjúsági irodalom, ifjusagi irodalom
Didactica,didactica
 Iszlám, iszlam
 Orosz hangoskönyvek , orosz hangoskonyvek 
Cărți,carti
 Kézimunka, kezimunka
 Műszaki tudományok, muszaki tudomanyok
 Literatura braziliana, literatura braziliana
Bogdan Cosa,bogdan cosa
 Literatura canadiana, literatura canadiana
 Szexuálpszichológia, szexualpszichologia
 Kémia, kemia
Legislatie Rutiera,legislatie rutiera
Andrei Pleșu,andrei plesu
Carti thriller,carti thriller
Drept international,drept international
Raftul traducatorului - Cristian Fulas,raftul traducatorului  cristian fulas
Audiobooks,audiobooks
 Budapest, budapest
 Ajándéktárgyak, ajandektargyak
 Química , quimica 
 Vallás, vallas
Accepta-te,acceptate
"Programare, dezvoltare",programare dezvoltare
Literatura Fantasy,literatura fantasy
Arts,arts
Climate Change Summit 2024,climate change summit 2024
 Állat- és növényvilág, allat es novenyvilag
" Heraldika, családtörténet", heraldika csaladtortenet
" Guías, Self-help ", guias selfhelp 
 Festészet , festeszet 
 Novels , novels 
Hangoskönyv ,hangoskonyv 
" Ciencia ficción, Fantasía", ciencia ficcion fantasia
 Bildbände, bildbande
 Levelezés, levelezes
 6-10 éveseknek, 610 eveseknek
 Kert és lakás , kert es lakas 
Horia-Roman Patapievici,horiaroman patapievici
 Humoros, humoros
Drept civil,drept civil
 Joc, joc
 Neveléstudomány, nevelestudomany
lets start again,lets start again
 Német, nemet
 Grafika, grafika
Clasa a VII-a - Fizica,clasa a viia  fizica
 Mathematiques , mathematiques 
 Gyermek- és ifjúsági irodalom, gyermek es ifjusagi irodalom
Iulian Tănase,iulian tanase
Raftul cu prețuri super prietenoase - Pentru copii și adolescenți,raftul cu preturi super prietenoase  pentru copii si adolescenti
" Kozmetika, szépség, divat", kozmetika szepseg divat
Literatura argentiniana,literatura argentiniana
" Mathematik, Naturwissenschaften, Technik, Medizin ", mathematik naturwissenschaften technik medizin 
Alte reviste,alte reviste
 Cresterea Copilului, cresterea copilului
 Magyar nyelv, magyar nyelv
Blues,blues
Citit de Scena9,citit de scena9
" Politikwissenschaft, Soziologie ", politikwissenschaft soziologie 
 Literatura columbiana, literatura columbiana
" Hobby, Freizeit, Natur ", hobby freizeit natur 
Culinare,culinare
Raftul the Vast & the curious,raftul the vast  the curious
"Minte, corp, spirit",minte corp spirit
 Literatura coreeana, literatura coreeana
 7-10 éveseknek , 710 eveseknek 
Vise,vise
Mihail Vakulovski,mihail vakulovski
" Játékkártya, társasjáték", jatekkartya tarsasjatek
Penal,penal
 Wirtschaft , wirtschaft 
 Limbi Straine Copii, limbi straine copii
 Engineering , engineering 
Clasa a III-a - Matematica,clasa a iiia  matematica
 Természetismeret, termeszetismeret
 Szórakoztató irodalom, szorakoztato irodalom
" Loisirs Créatifs, Nature ", loisirs creatifs nature 
Inteligenta emotionala,inteligenta emotionala
 Medicina Pentru Toti, medicina pentru toti
 Learning , learning 
Andreea Răsuceanu,andreea rasuceanu
"Fictiuni, povestioare",fictiuni povestioare
Planificare regionala si urbana,planificare regionala si urbana
Lingvistica,lingvistica
Ștefania Mihalache,stefania mihalache
Fitness si dieta,fitness si dieta
Albumul Bebe,albumul bebe
Maghiara,maghiara
" Dessins, Comics", dessins comics
 Eseistica, eseistica
Stiinte sociale. Politica,stiinte sociale politica
Istorie si critica,istorie si critica
 Literatura spaniola, literatura spaniola
 Számítástechnikai, szamitastechnikai
Ioana Nicolaie,ioana nicolaie
 Világirodalom, vilagirodalom
"Proza scurta, altele",proza scurta altele
 3-6 éveseknek , 36 eveseknek 
Relatii internationale,relatii internationale
 Fizika, fizika
Finante Banci,finante banci
Pentru sarbatori,pentru sarbatori
 Travel Literature , travel literature 
 Kispartitúra, kispartitura
 Pedagogie Metodica, pedagogie metodica
 German Teaching Materials, german teaching materials
Recomandări Teodora Munteanu,recomandari teodora munteanu
 Literatura engleza, literatura engleza
" Belsőépítészet, lakberendezés", belsoepiteszet lakberendezes
 Irodalomelmélet, irodalomelmelet
" Matemáticas, Ciencia, Ingeniería ", matematicas ciencia ingenieria 
 Reference Books , reference books 
Andrei Ruse,andrei ruse
 Music, music
Drept financiar,drept financiar
"Sociologie, antropologie",sociologie antropologie
Clasa a XI-a - Biologie,clasa a xia  biologie
Literatura norvegiana,literatura norvegiana
Clasa a IV-a - Limba engleza,clasa a iva  limba engleza
 A hidegháború kora, a hideghaboru kora
Clasa a VIII-a - Chimie,clasa a viiia  chimie
 Romane , romane 
" Cocción, comida, bebida ", coccion comida bebida 
" Lexikon, enciklopédia ", lexikon enciklopedia 
 Media and Communication , media and communication 
 Carte Ortodoxa, carte ortodoxa
Aparare nationala,aparare nationala
 Programozás, programozas
" Monográfiák, tanulmányok", monografiak tanulmanyok
Reader to Writer,reader to writer
Ciclul gimnazial,ciclul gimnazial
 Software, software
Antoaneta Olteanu,antoaneta olteanu
" Álláskeresés, karrierépítés, HR", allaskereses karrierepites hr
Clasa a II-a - Matematica,clasa a iia  matematica
 Nuvele, nuvele
 Literatura chineza, literatura chineza
" CD, CD-ROM ", cd cdrom 
 Chimie , chimie 
 Filosofie Romaneasca, filosofie romaneasca
 Kutya, kutya
Carti de colorat,carti de colorat
Puzzle pentru copii,puzzle pentru copii
 Ingénierie , ingenierie 
 Geologie, geologie
 Education Science , education science 
 Music , music 
 Szótárak , szotarak 
 Magyar történelem , magyar tortenelem 
Lecturi,lecturi
"Neuropsihologie, biopsihologie",neuropsihologie biopsihologie
 Szépirodalom , szepirodalom 
Engleza,engleza
 Utazás , utazas 
Câștigătorii ediției a 5-a a Burselor și Rezidențelor Cărturești,castigatorii editiei a 5a a burselor si rezidentelor carturesti
" Cooking, Food, Drink ", cooking food drink 
Autori străini,autori straini
Raftul One World ediția a 14-a,raftul one world editia a 14a
Gradinita - Educatie pentru sanatate,gradinita  educatie pentru sanatate
" Erziehung, Bildung, Unterricht ", erziehung bildung unterricht 
 Madarak, madarak
 Belletristik , belletristik 
Antikvár könyv ,antikvar konyv 
 Astrologie, astrologie
Literatura Universala,literatura universala
"Stima de sine, incredere si motivatie",stima de sine incredere si motivatie
 Ghid Turistic, ghid turistic
 Általános, altalanos
Istoria stiintei si generalitati,istoria stiintei si generalitati
Accesorii fun,accesorii fun
Ion Pop,ion pop
 Franceza, franceza
Șerban Foarță,serban foarta
 Etológia, etologia
 Design, design
Idegen nyelvű ,idegen nyelvu 
" Könnyűzene, jazz", konnyuzene jazz
 Audiobook, audiobook
Literatura finlandeza,literatura finlandeza
LGBTQ+,lgbtq
 Spiritualitate Ezoterism, spiritualitate ezoterism
Teatru,teatru
 Deutsch als Fremdsprache, deutsch als fremdsprache
" Tankönyv, segédkönyv ", tankonyv segedkonyv 
 Tánc, tanc
 Carti horror, carti horror
 Őslénytan, oslenytan
 Nyelvészet, nyelveszet
 Egyetemes építészet, egyetemes epiteszet
Petre Barbu,petre barbu
Comunicare si persuasiune,comunicare si persuasiune
Teste Psihometrice,teste psihometrice
 Chemistry, chemistry
" Küzdősportok, harcművészet", kuzdosportok harcmuveszet
" Biographien, Erinnerungen", biographien erinnerungen
Angela Marcovici,angela marcovici
 Musik , musik 
 Travel Guides - Sports , travel guides  sports 
Raftul cu prețuri super prietenoase - Ficțiune,raftul cu preturi super prietenoase  fictiune
" Lektüren, Interpretationen", lekturen interpretationen
" Fables, Légende", fables legende
Navigatie,navigatie
" Reiseberichte, Reiseerzählungen ", reiseberichte reiseerzahlungen 
 Romantikus, romantikus
 Partituri Muzicale, partituri muzicale
Doctrine si partide politice,doctrine si partide politice
"Lumea naturii, animale",lumea naturii animale
Iudaism,iudaism
" Environmental Sciences, Agriculture and Forestry ", environmental sciences agriculture and forestry 
 iubeste-te, iubestete
" Életvitel, technika", eletvitel technika
Psihologia varstelor si a sexelor,psihologia varstelor si a sexelor
 Nyelvkönyvek, nyelvkonyvek
Ciclul liceal - Manuale si auxiliare,ciclul liceal  manuale si auxiliare
Relatia de cuplu,relatia de cuplu
 Vers , vers 
 Szakirányú, szakiranyu
Liliana Corobca,liliana corobca
Literatura italiana,literatura italiana
 Agende, agende
Marius Chivu,marius chivu
Clasa I - Limba si literatura romana,clasa i  limba si literatura romana
Buddhism,buddhism
 Fotó , foto 
 Literatura contemporana, literatura contemporana
 Film és színház, film es szinhaz
 Non-Fiction , nonfiction 
 Gyermek és ifjúsági , gyermek es ifjusagi 
Franceza,franceza
Filosofia mintii,filosofia mintii
Plante Gradinarit,plante gradinarit
 Sachbücher, sachbucher
 Állatorvoslás, allatorvoslas
Carti cu activitati,carti cu activitati
 Civil, civil
" Sachbuch, Ratgeber ", sachbuch ratgeber 
 Kisállatok , kisallatok 
 Carti romantice, carti romantice
Clasa I - Limba engleza,clasa i  limba engleza
 Művészettörténet , muveszettortenet 
 Holland, holland
Manuale Clasa 3,manuale clasa 3
Muzica,muzica
" Cartoons ,Comics", cartoons comics
Dreptul familiei,dreptul familiei
Reviste,reviste
 Schite, schite
Chiromantie,chiromantie
 Linguistique , linguistique 
 Literatura Fantasy, literatura fantasy
Carmen Tiderle,carmen tiderle
Publicistica,publicistica
 Litere Critica Literara, litere critica literara
" Social Sciences, Law, Economics ", social sciences law economics 
" Esoterik, Anthroposophie ", esoterik anthroposophie 
Gradinita - Matematica,gradinita  matematica
Revista romana de comunicare si relatii publice,revista romana de comunicare si relatii publice
Civil,civil
Vinil,vinil
Obiceiuri si stil de viata,obiceiuri si stil de viata
 Erotika , erotika 
Clasa a IX-a - Matematica,clasa a ixa  matematica
Etnologie,etnologie
 Gyermekek és szülők , gyermekek es szulok 
 Médiaismeret, mediaismeret
Coduri,coduri
Ciclul primar - Manuale si auxiliare,ciclul primar  manuale si auxiliare
 Egyetemes festészet , egyetemes festeszet 
 Angol , angol 
Matei Visniec,matei visniec
Andrei Dosa,andrei dosa
 Teatru, teatru
 Antológiák, antologiak
 Ötvösművészet, otvosmuveszet
 Arhitectura, arhitectura
Literatura chiliana,literatura chiliana
Dictionare,dictionare
Electro,electro
 Extrém sportok, extrem sportok
" Technika, életvitel", technika eletvitel
 Világtörténelem , vilagtortenelem 
Cornel George Popa,cornel george popa
Istorie universala,istorie universala
" Közgazdaság, üzlet", kozgazdasag uzlet
Ana-Maria Negrilă,anamaria negrila
" Filozófia, történelem", filozofia tortenelem
 Économie , economie 
Simona Popescu,simona popescu
Clasa pregatitoare - Muzica si miscare,clasa pregatitoare  muzica si miscare
Carti copii in limbi straine,carti copii in limbi straine
Concurs Enescu,concurs enescu
" Leporellók, lapozók", leporellok lapozok
 Autó-motor, automotor
 Hon- és népismeret, hon es nepismeret
 Harsona, harsona
 Istorie Universala, istorie universala
"Actiune, aventuri",actiune aventuri
Calendare,calendare
 Társadalomtudomány , tarsadalomtudomany 
Despre rasă,despre rasa
"Medicina naturista, ingrijire",medicina naturista ingrijire
Semiotica,semiotica
Sabina Fati,sabina fati
Doina Ruşti,doina rusti
YA,ya
Clasa a IV-a - Istorie,clasa a iva  istorie
 Sachbilderbücher, sachbilderbucher
Arta,arta
 Arts , arts 
Decoder,decoder
Veronica D. Niculescu,veronica d niculescu
 Carti bilingve, carti bilingve
Management,management
Antologii,antologii
 Enciclopedii, enciclopedii
 Schule und Lernen , schule und lernen 
 Sakk, sakk
Romane gotice,romane gotice
Farmacologie,farmacologie
 Ifjúsági regények és elbeszélések, ifjusagi regenyek es elbeszelesek
 Űrkutatás, urkutatas
 Travel Literature, travel literature
" Befektetés, vállalkozás", befektetes vallalkozas
Clasa a X-a - Consiliere si dezvoltare personala,clasa a xa  consiliere si dezvoltare personala
" Libros escolares, Lecturas, Interpretaciones", libros escolares lecturas interpretaciones
 Sport , sport 
"Dans, performing arts",dans performing arts
 Romane SF, romane sf
 Musik, musik
 Sport, sport
Dezvoltare personala adolescenti,dezvoltare personala adolescenti
 Literary Studies , literary studies 
 Tourisme et Voyages , tourisme et voyages 
 Kötelező olvasmányok, kotelezo olvasmanyok
" Politics, Society, Labour", politics society labour
 Cuisine et Vins , cuisine et vins 
 Társadalomtudomány, tarsadalomtudomany
Ciclul prescolar - Auxiliare,ciclul prescolar  auxiliare
 Klarinét, klarinet
Literatura ceha,literatura ceha
Simona Preda,simona preda
 Réssources Éducatives, ressources educatives
Aspecte generale,aspecte generale
TM2023 - Shine your light!,tm2023  shine your light
Ofelia Prodan,ofelia prodan
 Kéttannyelvű , kettannyelvu 
 Könnyített olvasmányok , konnyitett olvasmanyok 
 Economía , economia 
Clasa a XI-a - Informatica si TIC,clasa a xia  informatica si tic
" Letras, Poesía, Ensayos, Discursos", letras poesia ensayos discursos
 Apprentissage Aids, apprentissage aids
 Modellezés, modellezes
 Biology , biology 
Art fiction,art fiction
Statistica,statistica
Romane Fantasy,romane fantasy
 Romane Nordic Noir, romane nordic noir
 Literatura suedeza, literatura suedeza
 Management, management
Istoria filosofiei occidentale,istoria filosofiei occidentale
 Idegen nyelvű , idegen nyelvu 
 Derecho , derecho 
Sociologie,sociologie
Sexualitate,sexualitate
Gramatica,gramatica
Auto-Moto,automoto
Psihologia copilului si dezvoltarii,psihologia copilului si dezvoltarii
Tarot,tarot
Ciclul liceal - Bibliografie scolara,ciclul liceal  bibliografie scolara
 Diete, diete
" Physics, Astronomy ", physics astronomy 
Fabule,fabule
 Minikönyv, minikonyv
 Philosophie , philosophie 
 Vallásfilozófia, vallasfilozofia
Ghid Turistic,ghid turistic
Natura si mediu,natura si mediu
 Non-fiction , nonfiction 
Raftul traducatorului - Simina Popa,raftul traducatorului  simina popa
 Magyar irodalom, magyar irodalom
Interpretări ale realității,interpretari ale realitatii
Hardware,hardware
 Mesekönyvek, mesekonyvek
Dezvoltare Personala,dezvoltare personala
 Biologie , biologie 
 Természetgyógyászat, termeszetgyogyaszat
 Gradi, gradi
Marin Mălaicu-Hondrari,marin malaicuhondrari
 Irodalom, irodalom
 Mitológia, mitologia
 Kalender , kalender 
 Tőzsde, tozsde
Raftul traducatorului - Ovio Olaru,raftul traducatorului  ovio olaru
Ana Barton,ana barton
Hobby-uri,hobbyuri
Raftul traducatorului - George Volceanov,raftul traducatorului  george volceanov
 Literatura greaca, literatura greaca
 Libros para nińos, libros para ninos
 Háztartási képzés, haztartasi kepzes
Farmacie,farmacie
 Legislatie, legislatie
 Literatura finlandeza, literatura finlandeza
 Computer Science , computer science 
Turism Mediu,turism mediu
Victoria Patrascu,victoria patrascu
 Egyéb idegen nyelvű , egyeb idegen nyelvu 
Luminita Mihai Cioaba,luminita mihai cioaba
Proprietate intelectuala,proprietate intelectuala
Raftul LGBTQI,raftul lgbtqi
 Magyar festészet , magyar festeszet 
 Umor, umor
Tudor Ganea,tudor ganea
Romane de dragoste,romane de dragoste
 Beszédjavító, beszedjavito
Various Artists,various artists
 Olasz könyvek , olasz konyvek 
Raftul Brand Minds 2022,raftul brand minds 2022
Lavinia Bălulescu,lavinia balulescu
Raftul FestivalYA,raftul festivalya
 Ratgeber , ratgeber 
 Művészet, muveszet
 Labdarúgás, labdarugas
Clasa a VIII-a - Limba engleza,clasa a viiia  limba engleza
"Pentru copii, adolescenti - in limba romana",pentru copii adolescenti  in limba romana
 History , history 
Raftul Festivalului internațional de literatură de la Odesa,raftul festivalului international de literatura de la odesa
Publicistica si jurnalism,publicistica si jurnalism
 Biológia, biologia
 Dezvoltarea Afacerilor, dezvoltarea afacerilor
Clasa a XII-a - Limba si literatura romana,clasa a xiia  limba si literatura romana
" Politics, Society, Labour ", politics society labour 
 Történelemfilozófia, tortenelemfilozofia
Tricouri,tricouri
" Műgyűjtés, árverési katalógusok", mugyujtes arveresi katalogusok
 Egészségügyi, egeszsegugyi
 Mathematics , mathematics 
 Fairy Tales, fairy tales
Bibliografie scolara,bibliografie scolara
 Életrajz, eletrajz
 Trauma si Vindecare, trauma si vindecare
Mediu si ecologie,mediu si ecologie
Comunicare Jurnalism,comunicare jurnalism
Dearly Dani's Favorites,dearly danis favorites
 Olasz nyelvű könyvek, olasz nyelvu konyvek
Paranormal,paranormal
Recomandare,recomandare
 Philosophie, philosophie
Romane mitologice,romane mitologice
 Informatika, informatika
Numerologie,numerologie
Dan Lungu,dan lungu
 Szobrászat, szobraszat
 Chemie , chemie 
 I. világháború, i vilaghaboru
 Lifestyle, lifestyle
" Matematikatörténet, kézikönyvek", matematikatortenet kezikonyvek
Raftul Premiilor Observator Cultural - Editia 2024,raftul premiilor observator cultural  editia 2024
" Elméleti közgazdaságtan, közgazdaságtörténet", elmeleti kozgazdasagtan kozgazdasagtortenet
 Literatura araba, literatura araba
 Kiállítási katalógus, kiallitasi katalogus
 Guides Général , guides general 
 Jelenkori történelem, jelenkori tortenelem
Cresterea Copilului,cresterea copilului
" Geisteswissenschaften, Kunst, Musik ", geisteswissenschaften kunst musik 
Georgiana Bozîntan,georgiana bozintan
 Fotótechnika, fototechnika
" Humor, Cartoons und Comics", humor cartoons und comics
 Politika, politika
 Chiromantie, chiromantie
Istorii secrete,istorii secrete
 Filozófia, filozofia
Greenpeace pentru copii,greenpeace pentru copii
 Carti de aventura, carti de aventura
 Fuvola, fuvola
 Nemzetgazdaságtan, nemzetgazdasagtan
 Képregény, kepregeny
"Poezii, antologii",poezii antologii
Nichita Danilov,nichita danilov
 Non-fiction, nonfiction
Studii culturale,studii culturale
 Learning Aids, learning aids
"Poezie, teatru, studii literare",poezie teatru studii literare
" Lyrik, Dramatik, Essays", lyrik dramatik essays
Roman Grafic,roman grafic
 Aprender , aprender 
Inteligenta emotionala copii,inteligenta emotionala copii
Călin Torsan,calin torsan
Raftul traducatorului - Andrei Cornea,raftul traducatorului  andrei cornea
Carti In Maghiara,carti in maghiara
"Astronomie, spatiu, timp",astronomie spatiu timp
" Travel Guides - Hotels, Restaurants", travel guides  hotels restaurants
 Literatura rusa, literatura rusa
Raftul traducatorului - Iulia Gorzo,raftul traducatorului  iulia gorzo
Cursuri limbi straine,cursuri limbi straine
" Biológia, egészségtan", biologia egeszsegtan
 Romane istorice, romane istorice
" Fairy-tales, Legends", fairytales legends
 psihanaliza, psihanaliza
Criminologie,criminologie
Literatura indiana,literatura indiana
Accesorii pentru birou,accesorii pentru birou
 Literatura chiliana, literatura chiliana
Raftul traducatorului - Marin Malaicu-Hondrari,raftul traducatorului  marin malaicuhondrari
 Mapas , mapas 
Enciclopedii,enciclopedii
Comunicare Publicitate,comunicare publicitate
Raftul Zest Podcast,raftul zest podcast
 Cultura Generala, cultura generala
Ingrijire si asistenta,ingrijire si asistenta
 Középiskola, kozepiskola
Civilizatii,civilizatii
 Histoire, histoire
 Magyarország, magyarorszag
Industria comunicarii,industria comunicarii
 De 0 á 6 ans, de 0 a 6 ans
" Kvíz, rejtvény", kviz rejtveny
 14 éves kor felett , 14 eves kor felett 
Educatie,educatie
You Better Stop: statie pentru dragostea de sine,you better stop statie pentru dragostea de sine
 Esztétika, esztetika
 Bildbände , bildbande 
Radu Vancu,radu vancu
Medicina sportiva,medicina sportiva
Dance Pop,dance pop
 Adatbázis, adatbazis
Medicina,medicina
 Guías generales , guias generales 
 Ezotéria, ezoteria
 Spanyol nyelvű könyvek, spanyol nyelvu konyvek
Lifestyle,lifestyle
" Általános sporttörténet, évkönyvek", altalanos sporttortenet evkonyvek
Parenting,parenting
 Feng shui, feng shui
 Magyar irodalom , magyar irodalom 
 Olasz zsebkönyvek , olasz zsebkonyvek 
Turism si calatorii,turism si calatorii
Terapii complementare,terapii complementare
 Ókor, okor
Clasa a VII-a - Geografie,clasa a viia  geografie
 Psihologie Practica, psihologie practica
"Sanatate, dezvoltare personala",sanatate dezvoltare personala
Clasa a VI-a - Biologie,clasa a via  biologie
 Arheologie, arheologie
Vintila Mihailescu,vintila mihailescu
 Artes , artes 
Software,software
 materiale Montessori, materiale montessori
 Gyermekeink egészsége, gyermekeink egeszsege
 Nyelvtan, nyelvtan
Ciclul gimnazial - Cursuri limbi straine,ciclul gimnazial  cursuri limbi straine
Legislatie,legislatie
 Fizica, fizica
Recomandări de lectură de la scriitoare și cititoare,recomandari de lectura de la scriitoare si cititoare
Spiritualitate,spiritualitate
Enciclopedii Copii,enciclopedii copii
 Non-Fiction, nonfiction
" Informatik, EDV ", informatik edv 
" VHS, Erwachsenenbildung", vhs erwachsenenbildung
" Tankönyv, segédkönyv", tankonyv segedkonyv
" Térképek, atlaszok ", terkepek atlaszok 
" Bútor, fa", butor fa
 Szakkönyvek, szakkonyvek
" Social Sciences, Law, Economics", social sciences law economics
Semne De Carte,semne de carte
"Psihiatrie, psihologie clinica, terapii",psihiatrie psihologie clinica terapii
 Ipar , ipar 
 Algebra, algebra
 Märchen und Sagen, marchen und sagen
Filosofie Romaneasca,filosofie romaneasca
 Kotta , kotta 
 Tinédzsereknek, tinedzsereknek
 Építészet , epiteszet 
Opera,opera
" Medicine, Pharmacy ", medicine pharmacy 
 Despre Holocaust, despre holocaust
 Romane gotice, romane gotice
Mihai Radu,mihai radu
 General, general
 Povesti, povesti
 Kalandregény, kalandregeny
 Útikönyvek, utikonyvek
 Egyetemes műv.történet , egyetemes muvtortenet 
 Világtörténelem, vilagtortenelem
FOCUS,focus
 Óvoda , ovoda 
Caiete de Vacanta,caiete de vacanta
" Etika, politikafilozófia", etika politikafilozofia
"Solo, instrumentala",solo instrumentala
Literatura franceza,literatura franceza
 Egyetemes fotóművészet, egyetemes fotomuveszet
" Lyrics, Poetry, Essays, Speeches", lyrics poetry essays speeches
Ocultism si ezoterism,ocultism si ezoterism
Tehnici de management,tehnici de management
Pentru părinți și profesori,pentru parinti si profesori
" Szótár, nyelvkönyv ", szotar nyelvkonyv 
Alegeri în literatură,alegeri in literatura
Clasa a XI-a - Consiliere si dezvoltare personala,clasa a xia  consiliere si dezvoltare personala
" Túrázás, hegymászás", turazas hegymaszas
Beletristica Limbi Straine,beletristica limbi straine
Ștefan Bolea,stefan bolea
Clasa a III-a - Stiinte ale naturii,clasa a iiia  stiinte ale naturii
 Taschenbücher , taschenbucher 
 Technik , technik 
"Preclinic: anatomie, fiziologie",preclinic anatomie fiziologie
Literatura australiana,literatura australiana
Diana Bădica,diana badica
Dezvoltare personala,dezvoltare personala
Literatura japoneza,literatura japoneza
 Orosz könyvek , orosz konyvek 
" Política, Sociedad, Trabajo ", politica sociedad trabajo 
Chris Simion,chris simion
" Mathematiques, Science, Ingénierie ", mathematiques science ingenierie 
" Völkerkunde, Volkskunde ", volkerkunde volkskunde 
 Carti politiste, carti politiste
 Francia, francia
 Olasz hangoskönyvek , olasz hangoskonyvek 
 Philosophy , philosophy 
" Hobby, Recreation, Nature ", hobby recreation nature 
Raftul Premiilor Sofia Nădejde - Proza debut 2022,raftul premiilor sofia nadejde  proza debut 2022
 Pedagogie, pedagogie
 Literatura poloneza, literatura poloneza
 Középkor, kozepkor
Despre persoane defavorizate,despre persoane defavorizate
" Livres Scolaires, Interprétation", livres scolaires interpretation
 Histoire , histoire 
Literatura braziliana,literatura braziliana
 A Rákosi- és Kádár-korszak, a rakosi es kadarkorszak
 Szórakoztató irodalom , szorakoztato irodalom 
 Chemistry , chemistry 
 Többnyelvű, tobbnyelvu
 Geschichte, geschichte
 Informatique , informatique 
 Nyelvtudomány, nyelvtudomany
 Philosopie , philosopie 
Raftul traducatorului - Antoaneta Olteanu,raftul traducatorului  antoaneta olteanu
Raftul EURO 2024,raftul euro 2024
 Judaizmus, judaizmus
 Fiction , fiction 
 Miscellaneous, miscellaneous
"Carti ilustrate, interactive",carti ilustrate interactive
Jocuri de societate,jocuri de societate
Stiinta si filosofie,stiinta si filosofie
" Történelem, régészet", tortenelem regeszet
Karda Zenko,karda zenko
 Szótárak, szotarak
 History, history
 Bilderbücher, bilderbucher
" Számvitel, statisztika", szamvitel statisztika
Desen Muzica Film Teatru,desen muzica film teatru
Cosmin Perța,cosmin perta
Clasa a XII-a - Consiliere si dezvoltare personala,clasa a xiia  consiliere si dezvoltare personala
Istoria mentalitatilor,istoria mentalitatilor
 Children's Books , childrens books 
Diverse,diverse
" Útikönyvek, útleírások", utikonyvek utleirasok
Materiale educationale,materiale educationale
 Numizmatika, numizmatika
Vlad Zografi,vlad zografi
Ciclul liceal,ciclul liceal
De citit,de citit
 Comunicare Jurnalism, comunicare jurnalism
Despre creier si gandire,despre creier si gandire
Psihoterapie,psihoterapie
 Jog, jog
Mecanica si stiinta materialelor,mecanica si stiinta materialelor
 Educatie Psihologie, educatie psihologie
 Ókori filozófia, okori filozofia
Dan Sociu,dan sociu
 Magyar műv. történet, magyar muv tortenet
" Marketing, reklám", marketing reklam
 Óra, ora
 Sprachwissenschaft , sprachwissenschaft 
 Enyhén értelmi fogy, enyhen ertelmi fogy
 Ezoterika , ezoterika 
 Mezőgazdasági , mezogazdasagi 
Psihologia cognitiva,psihologia cognitiva
 Escuela y Aprender , escuela y aprender 
Studii interdisciplinare,studii interdisciplinare
Filosofie Universala,filosofie universala
Clasa pregatitoare - Matematica,clasa pregatitoare  matematica
Cristina Ispas,cristina ispas
 Livres francais , livres francais 
" Religion, Theologie", religion theologie
 Carti cu abtibilduri, carti cu abtibilduri
Afaceri,afaceri
Poezii,poezii
 Egyetemes műv.történet, egyetemes muvtortenet
MM Publications,mm publications
" Lakberendezés, belsőépítészet", lakberendezes belsoepiteszet
 Spanyol, spanyol
Carti de joc educative,carti de joc educative
 Vállalatgazdaságtan, vallalatgazdasagtan
 Literatura indiana, literatura indiana
Drama,drama
Ciclul gimnazial - Manuale si auxiliare,ciclul gimnazial  manuale si auxiliare
 Romans , romans 
Geografie Topografie,geografie topografie
Săptămâna PSI 2024,saptamana psi 2024
 Olimpia, olimpia
Clasa a XII-a - Matematica,clasa a xiia  matematica
" Egészséges táplálkozás, diétáskönyvek", egeszseges taplalkozas dietaskonyvek
Drept penal,drept penal
 Francia nyelvű könyvek, francia nyelvu konyvek
" Szociálpszichológia, társas kapcsolatok", szocialpszichologia tarsas kapcsolatok
"Hobby, jocuri",hobby jocuri
Comics,comics
