Category,Category_Std
 Kisbabák és kismamák, kisbabak es kismamak
Business,business
 Memorii Jurnal, memorii jurnal
 Technik allg., technik allg
 Psychologie , psychologie 
Bogdan Răileanu,bogdan raileanu
"Dreptul mediului, transport",dreptul mediului transport
" Médicine, Pharmacie ", medicine pharmacie 
 Orvoslástörténet, orvoslastortenet
Invatarea limbilor straine,invatarea limbilor straine
" Cuentos de hadas, Derechoendas", cuentos de hadas derechoendas
 Viaje , viaje 
 Hittankönyv, hittankonyv
 Szépirodalom, szepirodalom
Monica Pillat,monica pillat
 Hörbücher , horbucher 
 Libros escolares alemanes, libros escolares alemanes
 Lingüística , linguistica 
 Historias de crimen, historias de crimen
 Gyermekek és szülők, gyermekek es szulok
Ivona Berceanu,ivona berceanu
Clasa a IV-a - Matematica,clasa a iva  matematica
Hinduism,hinduism
" Kémia, gyógyszerészet", kemia gyogyszereszet
Teodor Dună,teodor duna
 Literatura turca, literatura turca
 Siketek, siketek
Economie,economie
Raftul Premiilor Observator Cultural - Editia 2022,raftul premiilor observator cultural  editia 2022
 Humanités , humanites 
" Mathematics, Science, Engineering ", mathematics science engineering 
 Travel , travel 
Marketing si comunicare,marketing si comunicare
Alex Tocilescu,alex tocilescu
Psihologia relatiilor. Psihologia cuplului,psihologia relatiilor psihologia cuplului
Film,film
 Fictionelle, fictionelle
Nora Iuga,nora iuga
 Sci-fi, scifi
 Kártyajátékok, kartyajatekok
 Baby or Preschool (Non-Fiction), baby or preschool nonfiction
 Romane de dragoste, romane de dragoste
 Állattan, allattan
 Erstlesealter, erstlesealter
Religii Orientale,religii orientale
 Hardware, hardware
Jucarii diverse,jucarii diverse
 Ifjúsági ism. terjesztő , ifjusagi ism terjeszto 
Rafturi alese,rafturi alese
" Akvarisztika, terrárium", akvarisztika terrarium
Augustin Cupșa,augustin cupsa
 Történelmi regények, tortenelmi regenyek
Logica,logica
 Gift Books, gift books
Casa de Pariuri Literare -40%,casa de pariuri literare 40
" Science, Engineering", science engineering
 SF & Fantasy, sf  fantasy
Clasici,clasici
 Carti educative, carti educative
Arta comerciala si industriala,arta comerciala si industriala
Gradinita - Limba si literatura romana,gradinita  limba si literatura romana
" Libros escolares, Educación para adultos", libros escolares educacion para adultos
Literatura israeliana,literatura israeliana
Practic,practic
Dezvoltare Spirituala,dezvoltare spirituala
Economie Politica,economie politica
 Próza , proza 
 Irodalomtörténet , irodalomtortenet 
Drept social,drept social
Arhitectura,arhitectura
 Accepta-te, acceptate
 Italok, italok
 Crime Stories, crime stories
Parapsihologie,parapsihologie
Literatura islandeza,literatura islandeza
Romane ilustrate,romane ilustrate
Genetica Biologie,genetica biologie
Atlase,atlase
 Mezőgazdaság, mezogazdasag
 Horgászat, horgaszat
 Literatura americana, literatura americana
 Magyar, magyar
Contabilitate,contabilitate
 Útikönyvek , utikonyvek 
Florina Ilis,florina ilis
 Medienwissenschaften , medienwissenschaften 
 Felnőtt színezők, felnott szinezok
Literatura clasica,literatura clasica
Clasa a X-a - Matematica,clasa a xa  matematica
Benzi Desenate,benzi desenate
 A történelmi Magyarország, a tortenelmi magyarorszag
Carte straina,carte straina
 Psychology , psychology 
 Santé et Bien-Étre , sante et bienetre 
Kilipir Nemira -50%,kilipir nemira 50
Istorie,istorie
Raftul scriitorilor basarabeni,raftul scriitorilor basarabeni
Michio Kaku & The Future of Humanity,michio kaku  the future of humanity
Literatura daneza,literatura daneza
Istoria artei,istoria artei
Electronica si comunicatii,electronica si comunicatii
 Gazdaság és jog az EU-ban, gazdasag es jog az euban
" Hobby, Recreation, Nature", hobby recreation nature
"Arta, arhitectura",arta arhitectura
 Cartes et Plans , cartes et plans 
 Gyermekpszichológia, gyermekpszichologia
Literatura contemporana,literatura contemporana
Obiecte decorative,obiecte decorative
Recomandări Sorin Ioniță,recomandari sorin ionita
Gradinita - Arte vizuale,gradinita  arte vizuale
" Medicina, Farmacia ", medicina farmacia 
 Benzi Desenate, benzi desenate
 Elektronika, elektronika
 Számítástechnika, szamitastechnika
 II. világháború, ii vilaghaboru
Art safari for kids,art safari for kids
Raft Conflict Israel Hamas,raft conflict israel hamas
Recomandări Magda Grădinaru,recomandari magda gradinaru
Jurnale,jurnale
 Erotika, erotika
 Social Sciences General, social sciences general
 Geschichte , geschichte 
 Carte Juridica, carte juridica
 Handicrafts, handicrafts
" Gyermekversek, dalok", gyermekversek dalok
Ion Mureșan,ion muresan
Crestinism,crestinism
 Egyéb, egyeb
 Hangszerek, hangszerek
Citate,citate
 Általános gyógyászat, altalanos gyogyaszat
"Epistemologie, teoria cunoasterii",epistemologie teoria cunoasterii
Problemele tinerilor,problemele tinerilor
Marketing,marketing
Alexandru N. Stermin,alexandru n stermin
Raftul traducatorului - Bogdan Ghiu,raftul traducatorului  bogdan ghiu
" Környezetvédelem, ökológia", kornyezetvedelem okologia
 Gyermekkönyvek , gyermekkonyvek 
" Schoolbooks, Adult Education", schoolbooks adult education
 Könyvészet , konyveszet 
 Szakmai tankönyvek , szakmai tankonyvek 
Raftul Ascendis,raftul ascendis
 Irodalom , irodalom 
 Desen Muzica Film Teatru, desen muzica film teatru
Diete,diete
Andrei Oișteanu,andrei oisteanu
 Non-Ficción , nonficcion 
Irina Marinescu Bergmann,irina marinescu bergmann
Andrei Șerban,andrei serban
 Carti cu jucarie, carti cu jucarie
 Biografii, biografii
 5-12 évfolyam , 512 evfolyam 
 Ficción, ficcion
 Színművek , szinmuvek 
 Hegedű, hegedu
 Pszichológia , pszichologia 
 Macska, macska
 Religii Orientale, religii orientale
 Zene , zene 
 Kazetta, kazetta
 Fictionelle , fictionelle 
Invatatura Ortodoxa,invatatura ortodoxa
Camelia Cavadia,camelia cavadia
 Óvoda, ovoda
 Carti, carti
Carti de aventura,carti de aventura
Literatura olandeza,literatura olandeza
Autori invitați,autori invitati
 1956, 1956
" Lyrik, Dramatik und Essays", lyrik dramatik und essays
Carti cu CD,carti cu cd
Carti 3D,carti 3d
 Caiete de Vacanta, caiete de vacanta
 Guides Sports , guides sports 
 Zongora, zongora
Gradinita - Limba engleza,gradinita  limba engleza
 Társadalombiztosítás, tarsadalombiztositas
Calatorii,calatorii
 Poezii, poezii
Filosofie non-occidentala,filosofie nonoccidentala
 Essen und Trinken , essen und trinken 
 Crestinism, crestinism
 Variados, variados
 Naptár , naptar 
Mindfulness,mindfulness
Magie,magie
Raftul Filmului Francez,raftul filmului francez
Literatura maghiara,literatura maghiara
Iarmaroc Zen - Carte,iarmaroc zen  carte
 Hangoskönyv (CD) , hangoskonyv cd 
Literatura,literatura
 Szakmai nyelvkönyvek, szakmai nyelvkonyvek
" Sport, játék", sport jatek
Literatura coreeana,literatura coreeana
 Erdély, erdely
Manga,manga
" Pénz, befektetés, üzlet ", penz befektetes uzlet 
