Author;Author_Std
Zindel Segal;zindel segal
Radvány Zsuzsa;radvany zsuzsa
Lakatos Levente;lakatos levente
Frank Herbert;frank herbert
Giulia Enders;giulia enders
Varró Dániel;varro daniel
Cassandra Clare;cassandra clare
Karizs Tamás;karizs tamas
Anthony R. Pratkanis;anthony r pratkanis
Gilly Smith;gilly smith
Riley Baker;riley baker
Sal Endre;sal endre
Gabriel García Márquez;gabriel garcia marquez
Daniel Siegel;daniel siegel
T. Aszódi Éva;t aszodi eva
Marie Kondo;marie kondo
Stephens-Sarlós Erzsébet;stephenssarlos erzsebet
Byung-Chul Han;byungchul han
Bauer Barbara;bauer barbara
J. R. R. Tolkien;j r r tolkien
Mihail Pljackovszkij;mihail pljackovszkij
Gerlinde Ortner;gerlinde ortner
Peter Conradi;peter conradi
Stefanie Stahl;stefanie stahl
Christopher Paolini;christopher paolini
Ljudmila Ulickaja;ljudmila ulickaja
Julia Donaldson;julia donaldson
Mark Wolynn;mark wolynn
Diószegi Endre;dioszegi endre
Petőfi Sándor;petofi sandor
Shunmyo Masuno;shunmyo masuno
Juan Pablo Escobar;juan pablo escobar
Fördős Zé;fordos ze
B. K. S. Iyengar;b k s iyengar
Holly Black;holly black
Stephen Hawking;stephen hawking
Igaz Dóra;igaz dora
Susanne Gernhauser;susanne gernhauser
Bartis Attila;bartis attila
Ligetfalvi Mihályné;ligetfalvi mihalyne
Sebestyén Balázs;sebestyen balazs
Tim Seldin;tim seldin
Mogyorósy-Révész Zsuzsanna;mogyorosyrevesz zsuzsanna
Nicholas Kardaras;nicholas kardaras
Kerry Lord;kerry lord
Viola Stern Fischer;viola stern fischer
Bagossy László;bagossy laszlo
Jo Nesbo;jo nesbo
Szűcs Péter;szucs peter
Holly Jackson;holly jackson
David Goggins;david goggins
Sean Covey;sean covey
José Rodrigues Santos;jose rodrigues santos
Dr. Seuss;dr seuss
Stahl Judit;stahl judit
Almási Kitti;almasi kitti
Finy Petra;finy petra
J. Kovács Judit;j kovacs judit
Füzesi Zsuzsa;fuzesi zsuzsa
Monica Murphy;monica murphy
Török Eszter;torok eszter
Deme László;deme laszlo
Scott Kelby;scott kelby
Kim John Payne;kim john payne
Ablonczy Balázs;ablonczy balazs
Zágoni Balázs;zagoni balazs
Wéber Gábor;weber gabor
Eddie Jaku;eddie jaku
Irvin D. Yalom;irvin d yalom
Gránitzné Ribarits Valéria;granitzne ribarits valeria
Bedő Imre;bedo imre
Michael F. Scheier;michael f scheier
Anthony William;anthony william
Papp Gergő Pimaszúr;papp gergo pimaszur
Jean Liedloff;jean liedloff
Chalcy;chalcy
Geronimo Stilton;geronimo stilton
Kiera Cass;kiera cass
Peter Attia;peter attia
Lajos Antal;lajos antal
Czigány Zoltán;czigany zoltan
Marjolein Dubbers;marjolein dubbers
John M. Gottman;john m gottman
John Bradshaw;john bradshaw
Ina May Gaskin;ina may gaskin
R. Kelényi Angelika;r kelenyi angelika
Ferenc Holecz;ferenc holecz
Szabó Borbála;szabo borbala
Napoleon Hill;napoleon hill
Nényei Pál;nenyei pal
B. Mátyus Gyöngyi;b matyus gyongyi
Eric Carle;eric carle
James Redfield;james redfield
Anne Ameling;anne ameling
Dan Buettner;dan buettner
Lőrincz L. László;lorincz l laszlo
Sue Townsend;sue townsend
W. Bruce Cameron;w bruce cameron
Hevesi Krisztina;hevesi krisztina
Michelle Marly;michelle marly
Lucy Score;lucy score
Robert Galbraith;robert galbraith
Kim Cattrall;kim cattrall
Tim Marshall;tim marshall
Rachel Piercey;rachel piercey
John Gray;john gray
Demet Altınyeleklioğlu;demet altnyeleklioglu
Jón Kalman Stefánsson;jon kalman stefansson
Péterfy-Novák Éva;peterfynovak eva
Christelle Dabos;christelle dabos
Timothy Ferris;timothy ferris
Rupi Kaur;rupi kaur
Rejtő Jenő;rejto jeno
Nigel C. Benson;nigel c benson
Éve Herrmann;eve herrmann
Genki Kawamura;genki kawamura
Diana Gabaldon;diana gabaldon
Zdenek Miler;zdenek miler
Hahner Péter;hahner peter
Kavagucsi Tosikadzu;kavagucsi tosikadzu
Julie Orringer;julie orringer
Cixin Liu;cixin liu
Háy János;hay janos
Robin Sharma;robin sharma
Lindsay C. Gibson;lindsay c gibson
Farkas Róbert;farkas robert
Reiter István;reiter istvan
Andy Weir;andy weir
Nicolas Barreau;nicolas barreau
Clement W. Stone;clement w stone
Guido Wandrey;guido wandrey
Nádas Péter;nadas peter
Maren von Klitzing;maren von klitzing
Eddy de Wind;eddy de wind
Axel Scheffler;axel scheffler
Szujó Zoltán;szujo zoltan
Bárdos András;bardos andras
Philip K. Dick;philip k dick
Tina Seelig;tina seelig
Móra Ferenc;mora ferenc
