Publisher;Publisher_Std
Szépirodalmi Könyvtár Kiadóhiv;szepirodalmi konyvtar kiadohiv
Liszt Ferenc Zeneműv. Főiskola;liszt ferenc zenemuv foiskola
Druck und Verlag;druck und verlag
Káldor Gy. Könyvkiadóvállalat;kaldor gy konyvkiadovallalat
Népszava Könyvkereskedés;nepszava konyvkereskedes
Szent István Kir. Múzeum;szent istvan kir muzeum
Akadémiai Könyvkiadó;akademiai konyvkiado
Well-PRess Verlag;wellpress verlag
Kolozsvári Egyetemi Kiadó / Presa Universitară;kolozsvari egyetemi kiado  presa universitara
Kossuth Nyomda;kossuth nyomda
Orion Books Ltd.;orion books ltd
Kávé Kiadó;kave kiado
InfoGroup;infogroup
Dunaszerdahely;dunaszerdahely
Running Press;running press
Kárpáti Könyvkiadó;karpati konyvkiado
Clarendon press;clarendon press
Novotni Kiadó;novotni kiado
Libra Kft.;libra kft
Magyarországért;magyarorszagert
Union Deutsche Verlagsgesell.;union deutsche verlagsgesell
Savaria Múzeum;savaria muzeum
Révai-nyomda;revainyomda
Dick Manó;dick mano
Móra Ferenc Múzeum;mora ferenc muzeum
Építésügyi kiadó;epitesugyi kiado
Szent-István-Társulat;szentistvantarsulat
Mantle;mantle
Gyorsjelentés Kiadó;gyorsjelentes kiado
Longmans;longmans
Rege Kiadó;rege kiado
Gemini Budapest Kiadó;gemini budapest kiado
Gustav Kiepenheuer Verlag;gustav kiepenheuer verlag
MAVOSZ;mavosz
Muravidék Baráti Kör Kulturális Egyesület;muravidek barati kor kulturalis egyesulet
Oriel;oriel
Hellas Irod. És Nyomdai Rt.;hellas irod es nyomdai rt
Jokerex Kiadó;jokerex kiado
Világosság Könyvnyomda;vilagossag konyvnyomda
M-érték Kiadó Kft.;mertek kiado kft
PUBLICATIONS INTERNATIONAL;publications international
Benedikt Taschen;benedikt taschen
Brilliant Kiadó;brilliant kiado
Aufbau-Verlag Berlin;aufbauverlag berlin
Valhalla Páholy;valhalla paholy
Béta Irodalmi Rt.;beta irodalmi rt
bernard tauchnitz;bernard tauchnitz
Tyndale House Publishers;tyndale house publishers
Geomédia Lap- és Könyvkiadó;geomedia lap es konyvkiado
Politzer Zsigmond;politzer zsigmond
MOCKBA;mockba
Vass József Könyvkereskedése;vass jozsef konyvkereskedese
Remedium;remedium
Magyar Öttusa Szövetség;magyar ottusa szovetseg
William Morrow and Company;william morrow and company
Faktor Bt.;faktor bt
Kézirat Kiadó;kezirat kiado
Herman Ottó Múzeum;herman otto muzeum
Korda R.T. Nyomdája;korda rt nyomdaja
Erdészeti És Faipari Egyetem;erdeszeti es faipari egyetem
Magyar Pszichoanalitikus Egy.;magyar pszichoanalitikus egy
Magyar Olajipari Múzeum;magyar olajipari muzeum
Szalay Könyvkiadó;szalay konyvkiado
Bio-Derm Allergia Központ;bioderm allergia kozpont
Vajna és Bokor;vajna es bokor
Charta Books;charta books
Politikai Könyvkiadó;politikai konyvkiado
Keresztyén Ismeretterj. Alapitv;keresztyen ismeretterj alapitv
Houghton Mifflin Company;houghton mifflin company
AKG Kiadó;akg kiado
Munkaügyi minisztérium;munkaugyi miniszterium
Egyházfórum;egyhazforum
Pyramid Books;pyramid books
Kaposvár;kaposvar
DTV;dtv
M. Tud. Akadémia Könyvkiadó Hi;m tud akademia konyvkiado hi
Tetra Press;tetra press
Egységes Magyarországi Izraelita Hitközség;egyseges magyarorszagi izraelita hitkozseg
Fórum Könyvkiadó;forum konyvkiado
Free Press;free press
Buddhista Meditáció Központ;buddhista meditacio kozpont
Frankfurt a. M.;frankfurt a m
Jupiter Press;jupiter press
Argumentum-Akadémiai Kiadó;argumentumakademiai kiado
Albatrosz Könyvkiadó;albatrosz konyvkiado
Weingarten;weingarten
Beholder Kiadó;beholder kiado
Holló és Társa;hollo es tarsa
King Kiadó;king kiado
Eötvös József Könyvkiadó;eotvos jozsef konyvkiado
Duna Televízió;duna televizio
Schiffer Publishing Ltd.;schiffer publishing ltd
Edition Leipzig;edition leipzig
Anno Kiadó;anno kiado
Aurora Könyvek;aurora konyvek
Idegenforg.Prop. és Kiad.Váll.;idegenforgprop es kiadvall
Hollósy János Könyvnyomtató;hollosy janos konyvnyomtato
Prometheus Nyomda;prometheus nyomda
Jószöveg Műhely Kiadó;joszoveg muhely kiado
Budapesti Városvédő Egyesület;budapesti varosvedo egyesulet
Spread Bt.;spread bt
Renaissance;renaissance
ATHENAEUM IRODALMI ÉS NYOMDAI R.T.;athenaeum irodalmi es nyomdai rt
Debreczen;debreczen
Athens;athens
Fortuna;fortuna
Urania Verlag;urania verlag
MTA Regionális Kutatások Közp.;mta regionalis kutatasok kozp
Nemzetközi Hungarológiai Közp.;nemzetkozi hungarologiai kozp
Typis Polyglottis Vaticanis;typis polyglottis vaticanis
Falken-Verlag;falkenverlag
Historycum;historycum
Pearson Education Limited;pearson education limited
Nagykanizsa;nagykanizsa
Horizont Kiadó;horizont kiado
Rényi Károly Kiadása;renyi karoly kiadasa
Rozsnyai Károly Kiadása;rozsnyai karoly kiadasa
Korona Kiadó;korona kiado
Pest Megyei Pedagógiai Intézet;pest megyei pedagogiai intezet
Magyarországi Evangélikus Egyh;magyarorszagi evangelikus egyh
Roma;roma
MIT Press;mit press
Pannon Könyvkiadó;pannon konyvkiado
CLE International;cle international
Globus Nyomdai Műintézet;globus nyomdai muintezet
Jókai Mór Városi Könyvtár;jokai mor varosi konyvtar
Jerusalem Books;jerusalem books
Jókai Kör;jokai kor
Okker Kiadó;okker kiado
Mosonmagyaróvár;mosonmagyarovar
Batthyány Lajos Alapítvány;batthyany lajos alapitvany
Tamási;tamasi
Helsinki;helsinki
Veb Max Niemeyer;veb max niemeyer
Veb Verlag Enzyklopädie;veb verlag enzyklopadie
HungarHotels Központ;hungarhotels kozpont
ÉTK;etk
Éditions Corvina;editions corvina
Barnaföldi Gábor Archívum;barnafoldi gabor archivum
Magyarságtudományi Intézet;magyarsagtudomanyi intezet
Galahad Books;galahad books
Möbius;mobius
Ballantine Books;ballantine books
Magyar Nemzeti Bank;magyar nemzeti bank
Veszprémi Egyetemi Kiadó;veszpremi egyetemi kiado
Panther Books;panther books
Rathaus;rathaus
Rizzoli Editore;rizzoli editore
PROFESSIONAL PUBLISHING HUNGARY KFT;professional publishing hungary kft
Hennerwood Pub.;hennerwood pub
Vámbéry Polgári Társulás;vambery polgari tarsulas
Kieselbach Galéria;kieselbach galeria
Szépmíves Műhely;szepmives muhely
Art Nouveau;art nouveau
Országos Erdészeti Főigazg.;orszagos erdeszeti foigazg
Országos Pedagógiai Könyvtár;orszagos pedagogiai konyvtar
Aula Kiadó;aula kiado
Nagyvárad;nagyvarad
Stampfel Károly;stampfel karoly
Magyar-Szovjet Társaság;magyarszovjet tarsasag
Hunor Vállalkozás;hunor vallalkozas
Kláris Kft.;klaris kft
Markon Kft.;markon kft
Párizs;parizs
Pro Educatio Kiadó;pro educatio kiado
Orion;orion
Wiko Kő- És Könyvnyomdai Műint;wiko ko es konyvnyomdai muint
Portland House;portland house
Farkas Lőrinc Imre Kiadó;farkas lorinc imre kiado
Heti Válasz Kiadó;heti valasz kiado
Légrády Testvérek-Tolnai RT.;legrady testverektolnai rt
Pegazus Rt.;pegazus rt
Kulturtrade Kiadó;kulturtrade kiado
Pi Book Manager Iroda;pi book manager iroda
Interpopulart Könyvkiadó;interpopulart konyvkiado
Traktátus Kiadóvállalat;traktatus kiadovallalat
Ministry of Foreign Affairs;ministry of foreign affairs
Moewig;moewig
Grijalbo;grijalbo
Dudenverlag;dudenverlag
Silvana Editore;silvana editore
National Geographic Society;national geographic society
Janus Pannonius Egyetemi Kiadó;janus pannonius egyetemi kiado
Honos Verlag;honos verlag
MAGYAR TÁVIRATI IRODA ZRT;magyar tavirati iroda zrt
AQUILA KIADÓ;aquila kiado
Akli Könyvkiadó;akli konyvkiado
Sprinter Kiadó;sprinter kiado
NTC Publishing Group;ntc publishing group
Risus kiadó;risus kiado
Cserépfalvi Kiadó;cserepfalvi kiado
PHOENIX;phoenix
Szántó Kovács János Múzeum;szanto kovacs janos muzeum
Új Magyar Könyvkiadó;uj magyar konyvkiado
Magyar Iparművészeti Társulat;magyar iparmuveszeti tarsulat
Evangéliumi Kiadó;evangeliumi kiado
Érseki Lyceumi Könyvnyomda;erseki lyceumi konyvnyomda
Tan Kapuja Buddhista Főiskola;tan kapuja buddhista foiskola
Cheiron Studio Kft.;cheiron studio kft
Kárpátia Stúdió Kft.;karpatia studio kft
BABELPRESS BT.;babelpress bt
DTV Junior;dtv junior
Rowohlt Taschenbuch Verlag;rowohlt taschenbuch verlag
Eötvös Lóránd Tudományegyetem;eotvos lorand tudomanyegyetem
Walker Books;walker books
MAGYAR ÁLLAMI FÖLDTANI INTÉZET;magyar allami foldtani intezet
Source Books;source books
Böhlau Verlag;bohlau verlag
GOLD BOOK KFT;gold book kft
Kir. Magyar Egyetemi Nyomda;kir magyar egyetemi nyomda
Krónika Nova Kiadó;kronika nova kiado
HIETE Egészségügyi Főisk. Kar;hiete egeszsegugyi foisk kar
Soproni Levéltár;soproni leveltar
EÖTVÖS LORÁND TUDOMÁNYEGYETEM;eotvos lorand tudomanyegyetem
Balatonfüred Város Önkormányz.;balatonfured varos onkormanyz
Séd Nyomda;sed nyomda
MTA Politikai Tud. Intézete;mta politikai tud intezete
Magyar Filmtud. Int. és Filmar;magyar filmtud int es filmar
Computer Panoráma Kiadó;computer panorama kiado
Sphere Books;sphere books
Statisztikai Kiadó Vállalat;statisztikai kiado vallalat
Globus Verlag;globus verlag
Codex Print Kft.;codex print kft
Országos Közoktatási Intézet;orszagos kozoktatasi intezet
Zeneműkiadó Vállalat;zenemukiado vallalat
Channel 4 Books;channel 4 books
Van Nostrand Reinhold;van nostrand reinhold
Dr. Vajna És Bokor;dr vajna es bokor
Műszaki Kkiadó És Sokszor.Int.;muszaki kkiado es sokszorint
Utazási Könyvek Kiadóhivatala;utazasi konyvek kiadohivatala
Vízkapu Kft.;vizkapu kft
M & C Marketing Tanácsadó Kft.;m  c marketing tanacsado kft
Methuen Ltd.;methuen ltd
Souvenir Press;souvenir press
Key Porter Books;key porter books
Népművelési Minisztérium;nepmuvelesi miniszterium
Ernst & Sohn;ernst  sohn
Leningrad;leningrad
Közdok;kozdok
Frederick Warne & Co.;frederick warne  co
Start Kiadó;start kiado
Európai Petőfi Kör;europai petofi kor
MTA Műv.Tört.Kutatóintézet;mta muvtortkutatointezet
MEDIAM COMPLETE ARTWORKS;mediam complete artworks
Főiskolai Könyvnyomda;foiskolai konyvnyomda
MTI;mti
Golden Book Kiadó;golden book kiado
Médium;medium
St. Martin's Griffin;st martins griffin
BCA;bca
I.P.C.;ipc
Neumann Verlag;neumann verlag
Ungvár;ungvar
Ernst Wasmuth A.G.;ernst wasmuth ag
Rinehart & Company;rinehart  company
Szent György Céh;szent gyorgy ceh
Budapesti Közgazd. Egyetem;budapesti kozgazd egyetem
Siófok;siofok
M. Kir. Földtani Intézet;m kir foldtani intezet
MTA - Történettudomány Intézet;mta  tortenettudomany intezet
Parkstone Press;parkstone press
Vízügyi Múzeum;vizugyi muzeum
Művelődéskutató Intézet;muvelodeskutato intezet
Cédrus Kiadó;cedrus kiado
Állami Lapkiadó;allami lapkiado
Hazánk könyvkiadó;hazank konyvkiado
Veb Verlag Der Kunst;veb verlag der kunst
Linguaphone Institute;linguaphone institute
EURÓPA;europa
Microsoft Corporation;microsoft corporation
Nyugat Irodalmi És Nyomdai Rt.;nyugat irodalmi es nyomdai rt
Széphalom Könyvműhely;szephalom konyvmuhely
HVG Press Kft.;hvg press kft
Somogy Megyei Tanács;somogy megyei tanacs
Kultura Könyvkiadó Rt.;kultura konyvkiado rt
Rím Könyvkiadó;rim konyvkiado
Hadtörténeti Intézet;hadtorteneti intezet
Studio 21;studio 21
Kárpátia Műhely Bt.;karpatia muhely bt
Magyar Földrajzi Intézet;magyar foldrajzi intezet
Bába és Társa Kft.;baba es tarsa kft
Pytheas KönyvManufaktúra;pytheas konyvmanufaktura
Kultura Könyvkiadó;kultura konyvkiado
Verlag Karl. W. Hiersemann;verlag karl w hiersemann
Franklin Kiadás;franklin kiadas
Magyar Képzőművészeti Főiskola;magyar kepzomuveszeti foiskola
Ignácz Könyvkiadó;ignacz konyvkiado
Corvina Verlag;corvina verlag
Magyar Cserkészmozgalom;magyar cserkeszmozgalom
Kentaur Könyvek;kentaur konyvek
Ivy Books;ivy books
Uj Lexikon;uj lexikon
Turistaság és Alpinizmus;turistasag es alpinizmus
Deák Kiadó;deak kiado
Occidental Press;occidental press
DuMont Buchverlag Köln;dumont buchverlag koln
TSR;tsr
Cassell And Company;cassell and company
Kijárat Kiadó;kijarat kiado
Littera Nova Kiadó;littera nova kiado
Konsept-H Könyvkiadó;konsepth konyvkiado
Kis Akadémia;kis akademia
Eugen Prager Könyvkiadó;eugen prager konyvkiado
Kolibri Könyvkiadó;kolibri konyvkiado
MTA Könyvtára;mta konyvtara
TerraPrint;terraprint
Áron Kiadó;aron kiado
DFT-Hungária Kft.;dfthungaria kft
Magyar Egyetemi Kiadó;magyar egyetemi kiado
Balassi Bálint Könyvtár;balassi balint konyvtar
Dovin Kft.;dovin kft
Forever Kiadó;forever kiado
Caissa Chess Books;caissa chess books
Gyomaendrőd;gyomaendrod
Tevan;tevan
Néptudományi Intézet;neptudomanyi intezet
Kheirón '97 Kft.;kheiron 97 kft
Képcsarnok Vállalat;kepcsarnok vallalat
Válasz Könyvkiadó;valasz konyvkiado
Képzőművészeti Alap;kepzomuveszeti alap
Litteratura;litteratura
La Spiga;la spiga
Mondadori Edition;mondadori edition
Reader's Digest Válogatás;readers digest valogatas
Békés Megyei Levéltár;bekes megyei leveltar
Computerworld;computerworld
Delej Kft.;delej kft
Kelly Kft.;kelly kft
Miskolci Bölcsész Egyesület;miskolci bolcsesz egyesulet
Alinari;alinari
Mohács;mohacs
Gallimard Éditions;gallimard editions
Káldor Könyvkiadóvállalat;kaldor konyvkiadovallalat
Sensus Kiadó;sensus kiado
Amerikai Magyar Kiadó;amerikai magyar kiado
Stardust;stardust
Művelt Nép Tud. És Ismerett.K.;muvelt nep tud es ismerettk
Crossway Books;crossway books
Abacus;abacus
Richard Birnbach;richard birnbach
Országos Rabbiképző Intézet;orszagos rabbikepzo intezet
Dunakeszi;dunakeszi
H.N. Adventista Egyház;hn adventista egyhaz
TAYLOR & FRANCIS GROUP;taylor  francis group
Verlag Der Ungarischen Akademi;verlag der ungarischen akademi
Helikon Kiadó Kft.;helikon kiado kft
Schenk Verlag;schenk verlag
Fővárosi Állat- és Növénykert;fovarosi allat es novenykert
PULT KFT.;pult kft
Ister Kiadó;ister kiado
Herp Kiadó;herp kiado
Szeged Városi Nyomda És Kkiadó;szeged varosi nyomda es kkiado
Comenius Kiadó Kft.;comenius kiado kft
Trefort Kiadó;trefort kiado
Kossuth Lajos Tudományegyetem;kossuth lajos tudomanyegyetem
Szarvas;szarvas
Buschmann F. Könyvnyomdája;buschmann f konyvnyomdaja
Budapesti Műszaki Egyetem;budapesti muszaki egyetem
Merhavia Kiadó;merhavia kiado
Leopard Könyvkiadó;leopard konyvkiado
Methuen Children's Books;methuen childrens books
Puffin Books;puffin books
The Albatross;the albatross
Madách-Európa;madacheuropa
Magyar Ház Barátainak Kiadása;magyar haz baratainak kiadasa
Nalors Grafika;nalors grafika
Teach Yourself Books;teach yourself books
Cherubion Könyvkiadó;cherubion konyvkiado
Baranya Megyei Könyvtár;baranya megyei konyvtar
József Attila Kör;jozsef attila kor
Nemzetközi Magyar Filológiai T;nemzetkozi magyar filologiai t
KLTE Néprajzi Tanszék;klte neprajzi tanszek
Tevan Nyomda;tevan nyomda
Győri Xántus János Múzeum;gyori xantus janos muzeum
Magyar Könyvkiadók Egyesülete;magyar konyvkiadok egyesulete
Szukits Kiadó;szukits kiado
Reflektor;reflektor
Gond Alapítvány;gond alapitvany
Phoenix Könyvkiadó és Terjeszto Kft;phoenix konyvkiado es terjeszto kft
Black Swan;black swan
Magyar Könyvkereskedők Egylete;magyar konyvkereskedok egylete
JLX Kiadó;jlx kiado
Jonathan Cape;jonathan cape
Pécsi Irodalmi és Könyvnyomdai;pecsi irodalmi es konyvnyomdai
Romanika Bt.;romanika bt
Aba Könyvkiadó;aba konyvkiado
Magyar Szépmíves Társaság;magyar szepmives tarsasag
PROFESSIO KIADÓ;professio kiado
Pécsi Direkt Kft.;pecsi direkt kft
Magyar Gasztroenterológiai T.;magyar gasztroenterologiai t
Országos Magyar Méhészeti E.;orszagos magyar meheszeti e
Universum Kiadó;universum kiado
Művészetbarátok Egyesülete;muveszetbaratok egyesulete
Meulenhoff;meulenhoff
Új Vizuális Kultúra Alapítvány;uj vizualis kultura alapitvany
Dunaújváros;dunaujvaros
Magyar Királyi Állami Nyomda;magyar kiralyi allami nyomda
Epocha Kiadó;epocha kiado
Magyar Labdarúgó Játékvez.Test;magyar labdarugo jatekveztest
Villányi Úti Könyvek;villanyi uti konyvek
Népszava-Könyvkereskedés;nepszavakonyvkereskedes
Novella Kiadó;novella kiado
Irodalom Kft.;irodalom kft
MTA Néprajzi Kutatóintézet;mta neprajzi kutatointezet
Griff;griff
Addison-Wesley;addisonwesley
METEM;metem
M. Kir. Postatakarékpénztár I.;m kir postatakarekpenztar i
Bibliaiskolák Közössége;bibliaiskolak kozossege
Littoria Kiadó;littoria kiado
Bertelsmann Lexikon-Verlag;bertelsmann lexikonverlag
Barbaricum Könyvműhely;barbaricum konyvmuhely
DELTA KFT.;delta kft
Kék Könyvek;kek konyvek
Károli Gáspár Reform. Egyetem;karoli gaspar reform egyetem
Garai Irodalmi És Nyomdai Rt.;garai irodalmi es nyomdai rt
Árpád Gimnázium Alapítvány;arpad gimnazium alapitvany
Hena-Art Bt.;henaart bt
NYÍREGYHÁZI FŐISKOLA;nyiregyhazi foiskola
Vogel Burda Communication Kft.;vogel burda communication kft
Irisz Book;irisz book
Pedellus;pedellus
Szent Gellért Egyházi Kiadó;szent gellert egyhazi kiado
MRO Historia Könyvkiadó;mro historia konyvkiado
Pro-Print Könyvkiadó;proprint konyvkiado
Firenze;firenze
Filharmóniai Társaság;filharmoniai tarsasag
Új Idő KFT.;uj ido kft
Pedellus Novitas Kft.;pedellus novitas kft
Pedellus Tankönyvkiadó;pedellus tankonyvkiado
Csodaország Kiadó;csodaorszag kiado
Szepsi Csombor Kör;szepsi csombor kor
COMPLEX KIADÓ KFT;complex kiado kft
Alfa Ipari Vállalat;alfa ipari vallalat
Izobrazitelnoye Iskusstvo Pub;izobrazitelnoye iskusstvo pub
2010 Alapítvány;2010 alapitvany
ALB Kiadó;alb kiado
Abigail Galéria;abigail galeria
Animare Kft.;animare kft
Theiss;theiss
Franklin Könyvkiadó;franklin konyvkiado
Charta Kiadó;charta kiado
Királyi M. Term. Tud. Társaság;kiralyi m term tud tarsasag
Xanadu Publications;xanadu publications
Dáin Kiadó;dain kiado
Grafit Kiadó;grafit kiado
Phoenix Könyvek;phoenix konyvek
St. Paul's House;st pauls house
Krónika-Press Kiadói Kft.;kronikapress kiadoi kft
Star Books;star books
Napkelet Kiadó;napkelet kiado
Fontana/Collins;fontanacollins
Ész-érv Bt.;eszerv bt
Stratégiai és Védelmi Kut. Int;strategiai es vedelmi kut int
Szikra Irodalmi És Lapkiadó V.;szikra irodalmi es lapkiado v
ELTE Magyar Nyelvtört. Tanszék;elte magyar nyelvtort tanszek
Szombathelyi Képtár;szombathelyi keptar
T-Twins Kiadó;ttwins kiado
Nelson;nelson
Harvill Press;harvill press
Pepin press;pepin press
Szarvas András Térk.Ügyn.;szarvas andras terkugyn
Pszichoteam;pszichoteam
Táltos Kiadása;taltos kiadasa
Nádor Kálmán;nador kalman
Unikornis Kiadó;unikornis kiado
Verseghy Ferenc Megyei Könyvtá;verseghy ferenc megyei konyvta
Pest Megyei Múzeumok Igazg.;pest megyei muzeumok igazg
Aczél testvérek;aczel testverek
Z-Press Kiadó;zpress kiado
Budaörs;budaors
KSH Könyvtár És Dokum. Szolg.;ksh konyvtar es dokum szolg
QUOTA BT.;quota bt
MM Publications;mm publications
MÉM Információs Központ;mem informacios kozpont
Református Zsinati Iroda;reformatus zsinati iroda
Revital Alapítvány;revital alapitvany
Rákosi Jenő Bp.-i Hírlap Váll.;rakosi jeno bpi hirlap vall
Rózsa Ferenc Gimn. és Szakköz.;rozsa ferenc gimn es szakkoz
Rütten und Loening;rutten und loening
Sajgó és társa Kft.;sajgo es tarsa kft
Sarló;sarlo
Scandinavia-Tankönyvkiadó;scandinaviatankonyvkiado
Pesti Lloyd-Társulat;pesti lloydtarsulat
Sümeg;sumeg
Aquila Könyvkiadó;aquila konyvkiado
Magyar Könyvbarátok Kultúregy.;magyar konyvbaratok kulturegy
Komet Verlag;komet verlag
New English Library;new english library
JANUS PANNONIUS TUDOMÁNYEGYETEM;janus pannonius tudomanyegyetem
Icon Books;icon books
united p.c.;united pc
Szentpétery I. Tört.tud. Alap.;szentpetery i torttud alap
Press Publica Kiadó;press publica kiado
Csokonai Kiadó;csokonai kiado
Pantheon Kiadó;pantheon kiado
Pannonica Kiadó;pannonica kiado
Book Club Associates;book club associates
Carl P. Chryselius'sche B.;carl p chryseliussche b
S. Fischer Verlag;s fischer verlag
Adelphi;adelphi
Magyar Újságírók Szövetsége;magyar ujsagirok szovetsege
Scriptum Kft.;scriptum kft
Sárospataki Református Koll.;sarospataki reformatus koll
Kazinczy Kiadás;kazinczy kiadas
City Hall;city hall
Piremon;piremon
Kisújszállás;kisujszallas
GRAND CENTRAL PUBLISHING;grand central publishing
KOZMOSZ KIADÓ;kozmosz kiado
Zen Kiadó;zen kiado
Monopol Könyvkiadó Vállalat;monopol konyvkiado vallalat
Móricz Zs. Városi Könyvtár;moricz zs varosi konyvtar
J.A.Z.Z. Kiadó;jazz kiado
Videopont Kiadó;videopont kiado
Andrews and McMeel;andrews and mcmeel
Eto-Print Kiadó;etoprint kiado
Koktél Könyvek;koktel konyvek
Magyarországi Református Egyház Dok;magyarorszagi reformatus egyhaz dok
Bastei budapest kft;bastei budapest kft
Kraków;krakow
Le livre de poche;le livre de poche
Tarka Regénytár;tarka regenytar
HARPER COLLINS US;harper collins us
Abbeville Press;abbeville press
HarperCollins Publishers;harpercollins publishers
EASY READERS;easy readers
Franz Deuticke;franz deuticke
Szalonka Kiadó;szalonka kiado
Csécse;csecse
Somos Edition Kiadó Kft.;somos edition kiado kft
Difusion;difusion
Verlag Anton Pustet;verlag anton pustet
Coppelia Bt.;coppelia bt
EX-BB Kiadói Kft.;exbb kiadoi kft
Skíz Könyv- és Lapkiadó;skiz konyv es lapkiado
Fátum-Ars Kiadó;fatumars kiado
Lazi Kiadó;lazi kiado
The Companion Book Club;the companion book club
Phoenix Publishing;phoenix publishing
Kertész József;kertesz jozsef
Prentice-Hall;prenticehall
Népszava Lap- és Könyvkiadó;nepszava lap es konyvkiado
Csongrád Megyei Tanács;csongrad megyei tanacs
Hungarian Academy Of Arts &...;hungarian academy of arts 
Icon Editions;icon editions
PEARSON - LONGMAN;pearson  longman
Carlsen Verlag;carlsen verlag
Topopress;topopress
Magyar Barát;magyar barat
JGYF Kiadó;jgyf kiado
Signet Books;signet books
Árkádia Könyvkiadó;arkadia konyvkiado
Wiley Publishing;wiley publishing
Hangya Házinyomda;hangya hazinyomda
Athenaeum Nyomda;athenaeum nyomda
Pelican Books;pelican books
Asahi Shimbun Publishing Co.;asahi shimbun publishing co
Pitman Publishing;pitman publishing
Intera Rt.;intera rt
Napfényes Élet Alapítvány;napfenyes elet alapitvany
Perennial Books;perennial books
Pantheon;pantheon
BUDAPESTI TÖRTÉNETI MÚZEUM;budapesti torteneti muzeum
Parragon Books;parragon books
Rizzoli;rizzoli
Aréna 2000 Kiadó;arena 2000 kiado
Budapesti Ujságírók Egyesülete;budapesti ujsagirok egyesulete
Koehler und Amelang;koehler und amelang
MTA Filozófiai Intézet;mta filozofiai intezet
MTA Zenetudományi Intézet;mta zenetudomanyi intezet
MTA Kisebbségkutató Intézet;mta kisebbsegkutato intezet
Eök!k;eokk
MTA Történettudományi Intézet;mta tortenettudomanyi intezet
Geomarket Company;geomarket company
Fejér Megyei Tanács;fejer megyei tanacs
Első Vertikális Kisszövetkezet;elso vertikalis kisszovetkezet
Liszt Ferenc Zeneműv.Egyetem;liszt ferenc zenemuvegyetem
Rubbettino;rubbettino
Bába és Társai Kiadó;baba es tarsai kiado
Gergely R. Könyvkereskedése;gergely r konyvkereskedese
VEB Deutscher Landwirtschaftsv;veb deutscher landwirtschaftsv
Librairie Hachette;librairie hachette
Magyar kereskedelmi és ipark.;magyar kereskedelmi es ipark
Topográf;topograf
Bruckmann Verlag;bruckmann verlag
Új Vénusz Lap- És Könyvkiadó;uj venusz lap es konyvkiado
Direkt Marketing Millennium K.;direkt marketing millennium k
Gyula;gyula
Bajuszka Kft.;bajuszka kft
Everyman's Library;everymans library
SZALAY KFT.;szalay kft
Lantos kiadása;lantos kiadasa
PWM;pwm
Cserkő Bt.;cserko bt
Révai Könyvkiadó Nemzeti Váll.;revai konyvkiado nemzeti vall
Kereskedelmi kiadó;kereskedelmi kiado
Kereskedelmi Könyvkiadó;kereskedelmi konyvkiado
Új Világ Kiadó;uj vilag kiado
Ujság;ujsag
Eötvös Loránd Fizikai Társulat;eotvos lorand fizikai tarsulat
Pesti Napló;pesti naplo
Officina Kiadó;officina kiado
Esély Mozaik Kiadó;esely mozaik kiado
Dom Kiadás;dom kiadas
Palatinus Kiadó;palatinus kiado
Reál;real
Littera;littera
Kossuth Irod. És Könyvk. Váll.;kossuth irod es konyvk vall
Tanulmány Kiadó;tanulmany kiado
MRT-Minerva;mrtminerva
Fővárosi Emlékműfelügyelőség;fovarosi emlekmufelugyeloseg
Makkabi;makkabi
Soros Alapítvány;soros alapitvany
Albatrosz;albatrosz
Atlantisz;atlantisz
Corgi Books;corgi books
Mediaworks Hungary Zrt.;mediaworks hungary zrt
Magyar Szemle Alapítvány;magyar szemle alapitvany
Új Barázda Lapkiadó Rt.;uj barazda lapkiado rt
Budakönyvek;budakonyvek
Hopp Ferenc Kelet-Ázsiai Múz.;hopp ferenc keletazsiai muz
Puskás Tivadar Távközl. Tech.;puskas tivadar tavkozl tech
Fix Könyvkiadó;fix konyvkiado
Folio Könyvkiadó;folio konyvkiado
Új Magazin Kiadása;uj magazin kiadasa
Ehapa Verlag;ehapa verlag
Városháza;varoshaza
Mokép;mokep
Szent István Akadémia;szent istvan akademia
Borsod-Abaúj-Zemplén Levéltár;borsodabaujzemplen leveltar
Honismereti Szövetség;honismereti szovetseg
BOLYAI JÁNOS MATEMATIKAI TÁRSULAT;bolyai janos matematikai tarsulat
Time-Life International;timelife international
Graz;graz
Testnevelési Főiskola Továbbképző Intézet;testnevelesi foiskola tovabbkepzo intezet
Stratégiakutató Intézet;strategiakutato intezet
Impresszum Kiadó;impresszum kiado
Galley Press;galley press
Passage Kiadó;passage kiado
Australia;australia
MTA Pszichológiai Intézete;mta pszichologiai intezete
Christian Bourgois Éditeur;christian bourgois editeur
Légrády Nyomda és Könyvkiadó;legrady nyomda es konyvkiado
Veszprém Megyei Múzeumok Ig.;veszprem megyei muzeumok ig
Mezőgazdasági Múzeum;mezogazdasagi muzeum
Közoktatásügyi Kiadóvállalat;kozoktatasugyi kiadovallalat
Fotokinoverlag;fotokinoverlag
Nagy-Britannia Nagykövetség;nagybritannia nagykovetseg
SAUNDERS;saunders
"""Am Umedina"" Kft.";am umedina kft
Ifjusági Könyvkiadó;ifjusagi konyvkiado
Toronto;toronto
ELTE Szociológiai Intézet;elte szociologiai intezet
Rider;rider
DEBRECENI EGYETEM;debreceni egyetem
Haifa;haifa
Téka Könyvkiadó;teka konyvkiado
