Publisher;Publisher_Std
Detektív Kiadó Kft.;detektiv kiado kft
Pytheas;pytheas
Új Palatinus Könyvesház Kft.;uj palatinus konyveshaz kft
I.P.C. Könyvek Kft.;ipc konyvek kft
Kommunikációs Akadémia Könyvt.;kommunikacios akademia konyvt
Martinus Kiadó;martinus kiado
Danica Könyvkiadó;danica konyvkiado
BBS-Info Kft.;bbsinfo kft
Sziget Könyvkiadó;sziget konyvkiado
Ab Ovo;ab ovo
Corvina Kiadó;corvina kiado
Magvető Könyvkiadó;magveto konyvkiado
Papirusz Book;papirusz book
Kronosz Kiadó;kronosz kiado
Delta Vision Kft.;delta vision kft
Fekete Sas Kiadó;fekete sas kiado
Napvilág Kiadó;napvilag kiado
Danvantara Kiadó;danvantara kiado
Medicina Könyvkiadó Zrt.;medicina konyvkiado zrt
Erdélyi Múzeum-Egyesület;erdelyi muzeumegyesulet
Dinasztia Tankönyvkiadó;dinasztia tankonyvkiado
Content 2 Connect;content 2 connect
Európa Könyvkiadó;europa konyvkiado
MODEM MODERN DEBRECENI NONP.KFT.;modem modern debreceni nonpkft
Naphegy Kiadó;naphegy kiado
EditioPrinceps Kiadó;editioprinceps kiado
Alexandra Kiadó;alexandra kiado
Dante Könyvkiadó;dante konyvkiado
Tilos az Á Könyvek;tilos az a konyvek
PIROSKA PRESS KIADÓ;piroska press kiado
Titokfejtő Könyvkiadó;titokfejto konyvkiado
Geopen Kiadó;geopen kiado
Jezsuita Könyvek;jezsuita konyvek
Duna Könyvklub Kft.;duna konyvklub kft
Roland Toys Kft.;roland toys kft
Keresztyén Ismeretterj. Alap.;keresztyen ismeretterj alap
Totem Plusz Könyvkiadó;totem plusz konyvkiado
Pro Philosophia;pro philosophia
Századvég Pol. Isk. Alapítv.;szazadveg pol isk alapitv
Edge 2000 Kft.;edge 2000 kft
Kortina Kiadó;kortina kiado
Animula Kiadó;animula kiado
HVG-Orac Kft.;hvgorac kft
Petőfi Irodalmi Múzeum;petofi irodalmi muzeum
Útilapu Kiadó Kft.;utilapu kiado kft
Dajama;dajama
Szépnap Kiadó;szepnap kiado
Seneca Kiadó;seneca kiado
Magyar Nagylexikon Kiadó;magyar nagylexikon kiado
Ursus Libris;ursus libris
Janus-Gondolat;janusgondolat
Books In Print;books in print
Hibernia Nova Kiadó;hibernia nova kiado
Múlt és Jövő Alapítvány;mult es jovo alapitvany
Patak Könyvek;patak konyvek
Coldwell;coldwell
Lucullus 2000 Bt.;lucullus 2000 bt
"""DELA KÖNYVKIADÓ"" KFT.";dela konyvkiado kft
Napkút Kiadó;napkut kiado
AmbrooBook Kiadó;ambroobook kiado
Zagora 2000;zagora 2000
Éghajlat Könyvkiadó;eghajlat konyvkiado
Kornétás Kiadó;kornetas kiado
