Author;Author_Std
MIHAIL ALDASIN;mihail aldasin
ADRIENNE BARMAN;adrienne barman
GIB I. MIHAESCU;gib i mihaescu
IOAN VALENTIN NEGOI;ioan valentin negoi
MARIA MONTESSORI;maria montessori
SATCHIN PANDA;satchin panda
JUAN RULFO;juan rulfo
ISAIAH BERLIN;isaiah berlin
KARL PILLEMER;karl pillemer
NANDOR BARDI;nandor bardi
ELENA BOLANU;elena bolanu
ERIC KNIGHT;eric knight
ADRIAN VOICU;adrian voicu
LUMINITA NICOLESCU;luminita nicolescu
VALERIU PANOIU;valeriu panoiu
PAVLA HORAKOVA;pavla horakova
DANIEL FOOR;daniel foor
JOSEF STRAKA;josef straka
GELU DIACONU;gelu diaconu
N. STEINHARDT;n steinhardt
MAIA MORGENSTERN;maia morgenstern
SIMONA COPIL;simona copil
GENEVIEVE KREBS;genevieve krebs
ALENA MORNSTAJNOVA;alena mornstajnova
BRIANNA WEST;brianna west
LAURENCE DUDEK;laurence dudek
GABRIEL ALBU;gabriel albu
YANIV ICZKOVITS;yaniv iczkovits
EZGI BERK;ezgi berk
CALIN-ALEXIU STEGEREAN;calinalexiu stegerean
ANA DONTU;ana dontu
LORETH ANNE WHITE;loreth anne white
GEORGE MIHAIL ZAMFIRESCU;george mihail zamfirescu
DANA POPESCU;dana popescu
CHRIS COLUMBUS;chris columbus
COLECTIV ARAMIS;colectiv aramis
PETER CLINES;peter clines
FLORIAN BICHIR;florian bichir
OLINA ORTIZ;olina ortiz
DANIELA ULIERIU;daniela ulieriu
TATIANA MARGESCU;tatiana margescu
IOAN PAUL AL II-LEA;ioan paul al iilea
RACHEL CAINE;rachel caine
VICTOR ALARTES;victor alartes
GHEORGHE GLODEANU;gheorghe glodeanu
ALAIN DE BOTTON;alain de botton
SARA PENNYPACKER;sara pennypacker
VLAD CIOPLEA;vlad cioplea
PHILIPPA GREGORY;philippa gregory
ION I.C. BRATIANU;ion ic bratianu
GIULIANO DA EMPOLI;giuliano da empoli
RAISA ROSCA;raisa rosca
LEONIDA IVEL;leonida ivel
SANDRA GRIMM;sandra grimm
PAUL GOMA;paul goma
CORI DOERRFELD;cori doerrfeld
ANDRE GIDE;andre gide
LISA AISATO;lisa aisato
HAZEL GAYNOR;hazel gaynor
INESA TAUTU;inesa tautu
DAN ORGA-DUMITRIU;dan orgadumitriu
DORU CIUCESCU;doru ciucescu
JULES RENARD;jules renard
SATVIR KAUR SINGH;satvir kaur singh
JOSEPH CONRAD;joseph conrad
EMMANUELLE POLIMENI;emmanuelle polimeni
LIZZIE MABBOTT;lizzie mabbott
NARINE ABGARIAN;narine abgarian
ALEX PETRE POPESCU;alex petre popescu
FLORENTINA GALBINASU;florentina galbinasu
AMY C. EDMONDSON;amy c edmondson
KATE ALICE MARSHALL;kate alice marshall
DRAGOS BRATASANU;dragos bratasanu
YORAM HAZONY;yoram hazony
CRISTINA DEUTSCH;cristina deutsch
ELENA MOROZOVA;elena morozova
IOAN LES;ioan les
MICHAEL LAITMAN;michael laitman
MIRCEA CHELARU;mircea chelaru
C.S. LEWIS;cs lewis
RINO ALAIMO;rino alaimo
SAMUEL CIOCAN;samuel ciocan
OVIDIU CRISAN;ovidiu crisan
JOSE NORIEGA;jose noriega
MIHAI EMINESCU;mihai eminescu
ANGELO MITCHIEVICI;angelo mitchievici
MARIUS TUCA;marius tuca
GIANINA GABRIELA;gianina gabriela
SIMONA MIHUȚIU;simona mihutiu
ADRIAN ALUI GHEORGHE;adrian alui gheorghe
SZABO ENIKO;szabo eniko
SORIN CALOTA;sorin calota
KLAUS HEMMERLE;klaus hemmerle
VLAD IOVITA;vlad iovita
ION CRISTOIU;ion cristoiu
GABRIEL DRAGAN;gabriel dragan
SIMON CRITCHLEY;simon critchley
HORACIO QUIROGA;horacio quiroga
VARLAM SALAMOV;varlam salamov
DANIELE CAVICCHIA;daniele cavicchia
BELIGAN ANAMARIA;beligan anamaria
BLAKE CROUCH;blake crouch
CLAUDIA ZAMFIRESCU;claudia zamfirescu
GEORGE TOPIRCEANU;george topirceanu
SELMA LAGERLOF;selma lagerlof
CAMELIA CAVADIA;camelia cavadia
KATHRIN A. STAUFFER;kathrin a stauffer
BRIDGET BHREATHNACH;bridget bhreathnach
ERNESTO SABATO;ernesto sabato
FILOFTEIA GRAMA;filofteia grama
KEN HONDA;ken honda
VARLAAM ALMAJANU;varlaam almajanu
ALEXANDRE DUMAS;alexandre dumas
ADINA GRIGORE;adina grigore
LIVIU CIMPEANU;liviu cimpeanu
GILDA VALCAN;gilda valcan
JULES LOISELEUR;jules loiseleur
CRISTIAN BALANEAN;cristian balanean
FIONA DAVIS;fiona davis
DAVID K. HATCH;david k hatch
MADALINA BUCUCI;madalina bucuci
MIHAELA OANCEA;mihaela oancea
SORIN MARCULESCU;sorin marculescu
LARA WILLIAMSON;lara williamson
ROXALEE;roxalee
ION IONESCU;ion ionescu
FLORA HARDING;flora harding
VICTOR NEUMANN;victor neumann
IMOGEN CRIMP;imogen crimp
OCTAV DESSILA;octav dessila
MOORERONAN;mooreronan
MARTHA STEWART;martha stewart
ORHAN KEMAL;orhan kemal
MARIUS NICA;marius nica
JORN LIER HORST;jorn lier horst
BRAD KLONTZ;brad klontz
DOINA ISFANONI;doina isfanoni
THEODOR W. ADORNO;theodor w adorno
JANE AUSTEN;jane austen
ION ALUAS;ion aluas
YUKIO MISHIMA;yukio mishima
KEN FOLLETT;ken follett
LYSSA KAY ADAMS;lyssa kay adams
KAMALA HARRIS;kamala harris
MIRIAM TIRADO;miriam tirado
CRISTINA ARDELEAN;cristina ardelean
R.F. KUANG;rf kuang
THOMAS HOBBES;thomas hobbes
OIGAN;oigan
ANDA LUISA SESCU;anda luisa sescu
BEATRICE SALVIONI;beatrice salvioni
MARIA ZAMBRANO;maria zambrano
DIET SAYLER;diet sayler
ADRIANA PENA;adriana pena
DAN PERSA;dan persa
ECKHART TOLLE;eckhart tolle
ALEX. STEFANESCU;alex stefanescu
IAN FLYNN;ian flynn
MIHAI BARBULESCU;mihai barbulescu
MANUEL SAVU;manuel savu
GEORGE AVANU;george avanu
DEM. URMA;dem urma
ANNA SEWELL;anna sewell
PAPUS;papus
ANA BARTON;ana barton
NICK ARNOLD;nick arnold
IAN DE HAES;ian de haes
STEFAN AHNHEM;stefan ahnhem
CRISTIANA PETRE;cristiana petre
MARIA TIMUC;maria timuc
MALINA CIOCEA;malina ciocea
ALECU IVAN GHILIA;alecu ivan ghilia
JAMES HAWES;james hawes
ABBI GLINES;abbi glines
DISNEY;disney
DIANA MUNTEANU;diana munteanu
BRIAN GREENE;brian greene
SEBASTIAN I. BURDUJA;sebastian i burduja
SIDONIA DRAGUSANU;sidonia dragusanu
KEITH HITCHINS;keith hitchins
TRACEY LIEN;tracey lien
CATALIN DORIAN FLORESCU;catalin dorian florescu
LUIS SEPULVEDA;luis sepulveda
JOHN STEINBECK;john steinbeck
OLGA TOKARCZUK;olga tokarczuk
JENNIFER L. ARMENTROUT;jennifer l armentrout
MIRON SOAREC;miron soarec
CLIVE GIFFORD;clive gifford
AURELIA ULICI;aurelia ulici
LAO ZI;lao zi
CAMELIA SUCIU;camelia suciu
LIGIA CSIKI;ligia csiki
PAUL MASON;paul mason
RODICA BRAGA;rodica braga
LUKA BEKAVAC;luka bekavac
ANDREEA VOICU;andreea voicu
SAVERY ANNABEL;savery annabel
GEORGETA PANISOARA;georgeta panisoara
GABRIELA IONITA;gabriela ionita
ION DRUTA;ion druta
ANTONIO PATRAS;antonio patras
VIKTOR E. FRANKL;viktor e frankl
EMMA REED TURRELL;emma reed turrell
TOMAS NAVARRO;tomas navarro
DAVID HOFMEYR;david hofmeyr
KRISTA RITCHIE;krista ritchie
CORINA BERNIC (COORD.);corina bernic coord
JOHN GRAY;john gray
MILA PAVICEVIC;mila pavicevic
VIOREL COSMA;viorel cosma
JANA BILKOVA;jana bilkova
SARMIZA ANDRONIC;sarmiza andronic
ILAN BRENMAN;ilan brenman
FRANCESCA SIMON;francesca simon
HORIA BLIDARU;horia blidaru
JEAN DE LA FONTAINE;jean de la fontaine
VICTORIA EUGENIA HENAO;victoria eugenia henao
MATTHEW WALKER;matthew walker
PRENTICE MULFORD;prentice mulford
JOHN LE CARRE;john le carre
PATRICK J. GEARY;patrick j geary
INGRID BEATRICE COMAN;ingrid beatrice coman
LUCIUS ANNAEUS SENECA;lucius annaeus seneca
GEORGE TOPARCEANU;george toparceanu
SOPHIE SCOTT;sophie scott
DIANA NYAD;diana nyad
FLORIN CORNEL DUMITER;florin cornel dumiter
IURIE COLESNIC;iurie colesnic
MARIAN STAS;marian stas
PANAIT ISTRATI;panait istrati
MILAN KUNDERA;milan kundera
MOLIERE;moliere
BO SEO;bo seo
NICOLETA SALCUDEANU;nicoleta salcudeanu
ALEXANDRA SARCINSCHI;alexandra sarcinschi
MIHAIL LUNGIANU;mihail lungianu
NOAM FRIEDLANDER;noam friedlander
IULIAN TANASE;iulian tanase
HILARY MANTEL;hilary mantel
EMILIA DZIUBAK;emilia dziubak
VERA BROSGOL;vera brosgol
MASAJI ISHIKAWA;masaji ishikawa
MIHAIL STANCIU;mihail stanciu
MARIA SUSANA POPA;maria susana popa
SWAMI LAYANANDA;swami layananda
COCO MELLORS;coco mellors
LI SHENGHONG;li shenghong
VASILE BURLUI;vasile burlui
A.G. SAGA;ag saga
P.P. NEGULESCU;pp negulescu
EMMA CARROLL;emma carroll
FRANCES HODGSON BURNETT;frances hodgson burnett
DAVIDE SISTO;davide sisto
STEFAN OPREA;stefan oprea
ANASTASIA DUMITRU;anastasia dumitru
JOSEF PISCHL;josef pischl
MIHAI STEFAN;mihai stefan
RIEL NASON;riel nason
CECILE ALIX;cecile alix
GISELE VANHESE;gisele vanhese
JOSEPH DELANEY;joseph delaney
ERIC VUILLARD;eric vuillard
IRVIN D. YALOM;irvin d yalom
K.A.TUCKER;katucker
EMANUEL TANJALA;emanuel tanjala
COSTIAN;costian
BRINDUSA DOCA;brindusa doca
DAN NEGRU;dan negru
PARAMAHANSA YOGANANDA;paramahansa yogananda
GAELLE NOHANT;gaelle nohant
MARINA KHIDEKEL;marina khidekel
ALEX DE WOLF;alex de wolf
OCTAVIAN FLORESCU;octavian florescu
ELLIE MIDWOOD;ellie midwood
KELLY A. TURNER;kelly a turner
MARGARET ATWOOD;margaret atwood
VALERIU POP;valeriu pop
TATIANA TAPALAGA;tatiana tapalaga
IOAN R. MARINESCU;ioan r marinescu
SOPHIE SABBAGE;sophie sabbage
NICODIM AGHIORITUL;nicodim aghioritul
SALLY NORTON;sally norton
THOMAS SAVAGE;thomas savage
MAX PICARD;max picard
PETRU ISTRATE;petru istrate
OTILIA CAZIMIR;otilia cazimir
ALIN-ADRIAN MOISE;alinadrian moise
GEORGE GRIGORE;george grigore
SAM KEAN;sam kean
ANNE B. RAGDE;anne b ragde
DUMITRU ION DINCA;dumitru ion dinca
EUGENE SUE;eugene sue
JULES VERNE;jules verne
CIPRIAN VOICILA;ciprian voicila
UCU BODICEANU;ucu bodiceanu
MIHNEA COLUMBEANU;mihnea columbeanu
ALAN GIBSON;alan gibson
MARYROSE WOOD;maryrose wood
EUGEN OVIDIU CHIROVICI;eugen ovidiu chirovici
SOMAN CHAINANI;soman chainani
CHAS NEWKEY-BURDEN;chas newkeyburden
VICTOR ANESTIN;victor anestin
GEORGE DIMITRIU;george dimitriu
ZAHARIA MIHAIL ROBERT;zaharia mihail robert
GHEORGHE MARINICA;gheorghe marinica
EUFEMIA VIERIU;eufemia vieriu
SEBASTIAN TOROK;sebastian torok
BRETT BLUMENTHAL;brett blumenthal
MENNO METSELAAR;menno metselaar
URSULA POZNANSKI;ursula poznanski
NICOLE PERLROTH;nicole perlroth
LAURA HANGIU;laura hangiu
NICOLE AREND;nicole arend
MIA SHERIDAN;mia sheridan
ALEXANDRU BOTOROGA;alexandru botoroga
HORIA TABACU;horia tabacu
CAMILLA STEN;camilla sten
ANDREAS ALBES;andreas albes
SÉBASTIEN JAPRISOT;sebastien japrisot
DAVOUR ANNA;davour anna
ISTVAN KEMENY;istvan kemeny
IMMANUEL MIFSUD;immanuel mifsud
IEROTHEOS VLAHOS;ierotheos vlahos
LUNA TOADER;luna toader
DORIN BODEA;dorin bodea
COSMIN FLAVIUS COSTAS;cosmin flavius costas
CARL RICHARDS;carl richards
DANIEL CRISTIAN DUMITRU;daniel cristian dumitru
GABRIELLE BALKAN;gabrielle balkan
MARIAN NAZAT;marian nazat
TAD CRAWFORD;tad crawford
KJELL A. NORDSTROM;kjell a nordstrom
FRANCES FYFIELD;frances fyfield
JORGEN RANDERS;jorgen randers
ELENA FARAGO;elena farago
GERARDO VACANA;gerardo vacana
SILKE ROSE WEST;silke rose west
LEXIE SUTTON;lexie sutton
PAUL FEVAL FIUL;paul feval fiul
BEATE LOHSER;beate lohser
RADU IOANID;radu ioanid
MARIE RUTKOSKI;marie rutkoski
KETTY GUIU;ketty guiu
MAGGIE NELSON;maggie nelson
KATHARINA WIEKER;katharina wieker
SONA CHARAIPOTRA;sona charaipotra
OVIDIU BLAG;ovidiu blag
EMILE COUE;emile coue
RACHEL GILLIG;rachel gillig
CARYL HART;caryl hart
DIRK CUSSLER;dirk cussler
GEORGE CORNILA;george cornila
ILINCA MANESCU;ilinca manescu
V.M. VLAD;vm vlad
SIMONA MISIR;simona misir
SILVAN THEODORESCU;silvan theodorescu
PAMELA KENNEDY;pamela kennedy
DEMETRU IORDANA;demetru iordana
XIMENA MUNTEAN;ximena muntean
KEN BLANCHARD;ken blanchard
VALERIO MAGRELLI;valerio magrelli
VASILE CONSTANTIN;vasile constantin
WILLARD F. HARLEY JR;willard f harley jr
JOSEPH HADAD;joseph hadad
IOANA ANDREEA GHEORGHE;ioana andreea gheorghe
OANA MIONEL;oana mionel
IOANA MIHAELA CURALET;ioana mihaela curalet
STEVE HARVEY;steve harvey
DAWN DEVRIES SOKOL;dawn devries sokol
ARMELLE MODERE;armelle modere
RICHARD WEBSTER;richard webster
ALEXANDRE KOJEVE;alexandre kojeve
TIM WEINER;tim weiner
MIHAIL VINCENTIU IVAN;mihail vincentiu ivan
W.B. YEATS;wb yeats
MIKE SCHAFER;mike schafer
JEAN-CHRISTOPHE BUISSON;jeanchristophe buisson
DAN VOICULESCU;dan voiculescu
JARED DIAMOND;jared diamond
ANTONIE MOISEI;antonie moisei
CINDERS MCLEOD;cinders mcleod
ANDREI MAKINE;andrei makine
ION MARCULESCU;ion marculescu
AUREL POPA;aurel popa
JORGE LUIS DELGADO;jorge luis delgado
DAVID POLONSKY;david polonsky
FILIP FLORIAN;filip florian
CARMEN SYLVA;carmen sylva
RUXANDRA NOVAC;ruxandra novac
KATHERINE APPLEGATE;katherine applegate
ROBERTO MORGESE;roberto morgese
PAUL TREMBLAY;paul tremblay
GH. A. DINICU;gh a dinicu
GEMMA ELWIN HARRIS;gemma elwin harris
FABIO FIRENZUOLI;fabio firenzuoli
RUTH AMMANN;ruth ammann
ANCA STEF;anca stef
DAN ANGHELESCU;dan anghelescu
DAN N. COJOCARU;dan n cojocaru
SAMANTHA M. BAILEY;samantha m bailey
GEORGE PETER BITHOS;george peter bithos
DANIEL TIMARIU;daniel timariu
STEFAN SECLAMAN;stefan seclaman
ION BULEI;ion bulei
BEATRICE BAIU;beatrice baiu
MARIUS MITEA;marius mitea
CHARLES SCHULZ;charles schulz
LENA CONSTANTE;lena constante
FLORICA BUD;florica bud
MIHAI GEORGESCU;mihai georgescu
STEPHANE BIGHAM;stephane bigham
MARIA VANTU;maria vantu
MIHAELA CHILARESCU;mihaela chilarescu
CATALIN VRABIE;catalin vrabie
TONY ROBBINS;tony robbins
SIMON FARNABY;simon farnaby
MARK FISHER;mark fisher
SHERI RILEY;sheri riley
KATHERINE TEGEN;katherine tegen
LESLEY SIMS;lesley sims
DANIELA GHEORGHITA;daniela gheorghita
MIRCEA AANEI;mircea aanei
CRISTIAN NECULA;cristian necula
DRAGOS ALEXANDRESCU;dragos alexandrescu
GUSTAF SKORDEMAN;gustaf skordeman
LEO ANGART;leo angart
JEREMY STRONG;jeremy strong
GABRIEL CHIFU;gabriel chifu
JOE DUNTHORNE;joe dunthorne
ANDREW O NEILL;andrew o neill
ALEXANDRU PURCARUS;alexandru purcarus
ANNIE MUSCA;annie musca
ANA CIRSTIAN;ana cirstian
GOLNAZ HASHEMZADEH BONDE;golnaz hashemzadeh bonde
SCARLETT THOMAS;scarlett thomas
RAZVAN THEODORESCU;razvan theodorescu
HELEN RAPPAPORT;helen rappaport
TOM BAKER;tom baker
DAN WALKER;dan walker
MARKO BELA;marko bela
ALLAN FOLSOM;allan folsom
