Publisher;Publisher_Std
Beck Mérnöki Menedzsment Kft.;beck mernoki menedzsment kft
PESTI KALLIGRAM KFT.;pesti kalligram kft
Szilágyi Lajos e.v.;szilagyi lajos ev
Jezsuita Könyvek;jezsuita konyvek
LETTERO KIADÓ KFT.;lettero kiado kft
I.P.C. Könyvek Kft.;ipc konyvek kft
Minerva Nova Kft.;minerva nova kft
Katalizátor Könyvkiadó;katalizator konyvkiado
Nyitott Könyvműhely;nyitott konyvmuhely
Reakció Kiadó Kft.;reakcio kiado kft
Egészségforrás Kiadó;egeszsegforras kiado
Tericum Kiadó;tericum kiado
Méry Ratio;mery ratio
Menő Könyvek;meno konyvek
Panem Kft.;panem kft
Pilis-Print Kiadó;pilisprint kiado
OKTKER-Nodus Kiadó Kft.;oktkernodus kiado kft
MAGYAR KÖNYVKLUB ZRT.;magyar konyvklub zrt
Libri - Insomnia;libri  insomnia
Casparus Kiadó;casparus kiado
Háttér Kiadó;hatter kiado
Pintér Tamás;pinter tamas
Kreatív Kiadó;kreativ kiado
Kelly Kft.;kelly kft
Vivandra Könyvek;vivandra konyvek
Candover Kft.;candover kft
KKETTK Közalapítvány;kkettk kozalapitvany
Pro Personal Kiadó;pro personal kiado
T.BÁLINT LOGISZT. ÉS NYOMDAIP. BT;tbalint logiszt es nyomdaip bt
Delej Kft.;delej kft
Cor Leonis kiadó;cor leonis kiado
MAECENAS KÖNYVKIADÓ KFT.;maecenas konyvkiado kft
Média Nova;media nova
Hermit Könyvkiadó Bt.;hermit konyvkiado bt
Timp Kiadó;timp kiado
Marketing Műhely Kft.;marketing muhely kft
BOOOK KIADÓ KFT;boook kiado kft
KOTRA Kereskedelmi és Oktató Kft.;kotra kereskedelmi es oktato kft
Pannon-Literatúra Kft.;pannonliteratura kft
Holló és Társa;hollo es tarsa
Kálvin Kiadó;kalvin kiado
TINTA KÖNYVKIADÓ KFT;tinta konyvkiado kft
Free Spirit Publishing;free spirit publishing
Cser Kiadó;cser kiado
Codex Rt.;codex rt
Glória Kiadó;gloria kiado
Csipet kiadó;csipet kiado
Erawan Könyvkiadó;erawan konyvkiado
SANAWING KFT.;sanawing kft
Jogállam és Igazság Nonprofit Kft.;jogallam es igazsag nonprofit kft
Fapadoskönyv Kiadó;fapadoskonyv kiado
INDEX.HU Informatikai Zrt.;indexhu informatikai zrt
Szalay Könyvek;szalay konyvek
Századvég Közéleti Tudásközpont;szazadveg kozeleti tudaskozpont
CSENGŐKERT KIADÓ;csengokert kiado
Magnusz Kiadó;magnusz kiado
Hórusz Könyvkiadó;horusz konyvkiado
Duna Könyvklub Kft.;duna konyvklub kft
Új Palatinus Könyvesház Kft.;uj palatinus konyveshaz kft
MCC Press Kft.;mcc press kft
Lunchbox Produkciós Kft.;lunchbox produkcios kft
Pythia Kiadó;pythia kiado
Wise Tree Kft.;wise tree kft
LIBRI KÖNYVKIADÓ KFT.;libri konyvkiado kft
Tölgy Kiadó Keresked. és Szolg. Kft;tolgy kiado keresked es szolg kft
Aposztróf Kiadó;aposztrof kiado
G-ADAM STÚDIÓ KFT;gadam studio kft
CASH KÖNYVKIADÓ;cash konyvkiado
Pont Kiadó;pont kiado
Pro-Book;probook
Vince Kiadó;vince kiado
Atlantisz Könyvkiadó;atlantisz konyvkiado
Duna International Kft.;duna international kft
HVG Kiadó Zrt.;hvg kiado zrt
Totem Plusz Könyvkiadó;totem plusz konyvkiado
Bálint Piroska;balint piroska
Erdélyi Szalon;erdelyi szalon
Discovery Bliss Kft.;discovery bliss kft
Atlantic Press Kiadó;atlantic press kiado
Maecenas Könyvkiadó Kft;maecenas konyvkiado kft
Pro Livro;pro livro
Fiesta Stúdió Könyvkiadó Kft.;fiesta studio konyvkiado kft
New Era Publications Int. ApS;new era publications int aps
L'Harmattan Kiadó;lharmattan kiado
Meseközpont Alapítvány;mesekozpont alapitvany
Mandala-Véda Kiadó;mandalaveda kiado
Aba Könyvkiadó;aba konyvkiado
PRAE.HU Kft.;praehu kft
hvg360;hvg360
Vad Virágok Könyvműhely;vad viragok konyvmuhely
Panemex Kiadó;panemex kiado
Barecz&Conrad Books;bareczconrad books
K.U.K. Kiadó;kuk kiado
Kalliope Kiadó;kalliope kiado
Ventus Libro Kiadó;ventus libro kiado
Flaccus Kiadó;flaccus kiado
Korda Kiadó;korda kiado
MRO Historia Könyvkiadó;mro historia konyvkiado
Sziget Könyvkiadó;sziget konyvkiado
Képes Kiadó;kepes kiado
Pokoli-Angyali Kiadó Kft.;pokoliangyali kiado kft
Art Nouveau;art nouveau
Ankh;ankh
Autisták Országos Szövetsége;autistak orszagos szovetsege
Ringier Kiadó;ringier kiado
Fekete Sas Kiadó;fekete sas kiado
Spirituart jóga alapítvány;spirituart joga alapitvany
CSBOOK Kft.;csbook kft
Sensum Donum;sensum donum
Maecenas Kiadó;maecenas kiado
Pallas Athéné Könyvkiadó Kft.;pallas athene konyvkiado kft
Edge 2000 Kft.;edge 2000 kft
Koinónia Kiadó;koinonia kiado
TKK Kereskedelmi Kft.;tkk kereskedelmi kft
LXR Kft.;lxr kft
Z-Press Kiadó;zpress kiado
Books & Goods Kft.;books  goods kft
Mirax;mirax
Denton 2000 Bt.;denton 2000 bt
Next21 Kiadó Kft.;next21 kiado kft
Presskontakt;presskontakt
Szent Gellért Kiadó és Nyomda;szent gellert kiado es nyomda
Imaginative Bt.;imaginative bt
Csodasuli Kft.;csodasuli kft
EURÓPA;europa
Gaia Alapítvány;gaia alapitvany
Ringató Könyvkiadó;ringato konyvkiado
SZALAY-PANNON- LITERATÚRA KFT.;szalaypannon literatura kft
Angry Cat Kiadó;angry cat kiado
Innovatív Marketing Kft.;innovativ marketing kft
I.A.T. Kiadó;iat kiado
Pilis Print Kiadó Kft.;pilis print kiado kft
;
Roland Toys Kft. könyves;roland toys kft konyves
MÉCS Családközösségek;mecs csaladkozossegek
CHEF-PARADE Kereskedelmi és Szolg.K;chefparade kereskedelmi es szolgk
Szaktudás Kiadó Ház Rt.;szaktudas kiado haz rt
Hajnal Kiadó;hajnal kiado
TEA KIADÓ KFT.;tea kiado kft
TotHál Könyvkiadó Kft.;tothal konyvkiado kft
Műszaki Könyvkiadó;muszaki konyvkiado
Fejlesztő Élménytár Könyvkiadó;fejleszto elmenytar konyvkiado
Kráter Műhely Egyesület;krater muhely egyesulet
Perfekt;perfekt
Kreatív Kontroll Kft.;kreativ kontroll kft
Szent Gellért Egyházi Kiadó;szent gellert egyhazi kiado
OptimusTréning;optimustrening
Közép és Kelet-európai Történelem;kozep es keleteuropai tortenelem
Taramix;taramix
ARIEL INTERNATIONAL KFT;ariel international kft
Alinea Kiadó;alinea kiado
