Author;Author_Std
Ion Muslea;ion muslea
Paul Hirst;paul hirst
Vasile Alecsandri;vasile alecsandri
Niculae Neagu;niculae neagu
Dan Corneliu Ionescu;dan corneliu ionescu
Max Heindel;max heindel
Anne Lefevre-Balleydier;anne lefevreballeydier
Jacques Portes;jacques portes
Laure Chemery;laure chemery
Henri H. Stahl;henri h stahl
Cinzia Medaglia, Achim Seiffarth;cinzia medaglia achim seiffarth
Maeve Binchy, Arthur C. Clarke, Kate Chopin;maeve binchy arthur c clarke kate chopin
Eugen Uricaru;eugen uricaru
Matei Albastru;matei albastru
Mark Twain;mark twain
Haruki Murakami;haruki murakami
Marius Burtea, Georgeta Burtea;marius burtea georgeta burtea
Ana Blandiana;ana blandiana
Wu O. Tioshi;wu o tioshi
Dorina Salavastru;dorina salavastru
Gerogeta Nichifor;gerogeta nichifor
Cornel Constantin Ciomazga;cornel constantin ciomazga
Ion Luca Caragiale;ion luca caragiale
Zig Ziglar;zig ziglar
Viorel Olivian Pascanu;viorel olivian pascanu
David Daniel Kennedy;david daniel kennedy
Jan Van Helsing;jan van helsing
Hierotheos Vlachos;hierotheos vlachos
Danielle Steel;danielle steel
Nadeije Laneyrie-Dagen;nadeije laneyriedagen
Luciana Marinangeli;luciana marinangeli
Daniel V. Thompson;daniel v thompson
Alexandra Berger, Andrea Ketterer;alexandra berger andrea ketterer
Monahia Parascheva Avadanei;monahia parascheva avadanei
Paramahamsa Yogananda;paramahamsa yogananda
Giuseppe Cocchiara;giuseppe cocchiara
O.P. Ghai;op ghai
Ion Ghica;ion ghica
John Maxwell;john maxwell
Julius Evola;julius evola
Stefan Tudor;stefan tudor
Aimen Klimmeron;aimen klimmeron
C.G. Jung;cg jung
Marie Haddou;marie haddou
Vahe Zartarian;vahe zartarian
Bruno Ferrero;bruno ferrero
Corneliu Filip;corneliu filip
Gheorghios D. Metallinos;gheorghios d metallinos
Ana Stoica-Constantin;ana stoicaconstantin
Ken Sande;ken sande
Eugen B. Marian;eugen b marian
Nicolae-Florentin Petrisor;nicolaeflorentin petrisor
Melita Maschmann;melita maschmann
Anthony De Mello;anthony de mello
Melania Daniela Badic;melania daniela badic
Ion I. Ionescu;ion i ionescu
Eduard Laboulaye;eduard laboulaye
Karol Wojtyla;karol wojtyla
Eugen Lungu;eugen lungu
Mihaela Popescu, Mirela Gorunescu, Alexandru Boroi;mihaela popescu mirela gorunescu alexandru boroi
George Plastara;george plastara
Fratii Grimm;fratii grimm
Jules Verne;jules verne
