Author,Author_Std
"Käding, Klaus-Peter - Käpnick, Friedhelm - Schmidt, Dieter - Senftleben, Hans-Günter",kading klauspeter  kapnick friedhelm  schmidt dieter  senftleben hansgunter
"Rudolph, Jolanta",rudolph jolanta
"Fuhse, Jan",fuhse jan
"Mosse, George L.",mosse george l
"Korp, Dieter",korp dieter
"Brakel, Johannes F.",brakel johannes f
"Petersohn, Roland - Volkmann, Laurenz",petersohn roland  volkmann laurenz
"Feldmeier, Reinhard",feldmeier reinhard
"Walther, Peter - Hacke, Rudolf",walther peter  hacke rudolf
"Gerhartl, Gerd W. P.",gerhartl gerd w p
"Kestner, Karin",kestner karin
"Biegholdt, Georg - Hoffmann, Sonja - Ilbertz, Natalie - Schnabel, Annerose",biegholdt georg  hoffmann sonja  ilbertz natalie  schnabel annerose
"Berg, Rudolf - Bäuml-Stosiek, Dagmar - Eilert, Klaus - Frevert, Ute - Jäger, Wolfgang - Rauh, Robert - Winberger, Ursula",berg rudolf  baumlstosiek dagmar  eilert klaus  frevert ute  jager wolfgang  rauh robert  winberger ursula
"Jäger, Kathrin - Koch, Inge - Köster, Hilde - Leimbach, Rolf - Schenk, Gerhild",jager kathrin  koch inge  koster hilde  leimbach rolf  schenk gerhild
"Brümmer, Ulrich H.",brummer ulrich h
"Angebauer, Marcus - Mundry, Johannes - Schäfer, Martina - Vogt, Christina - Weyers, Bianca - Winter, Sascha",angebauer marcus  mundry johannes  schafer martina  vogt christina  weyers bianca  winter sascha
"Meitner, Lise",meitner lise
"Loos, Helmut",loos helmut
"Schübeler, Horst",schubeler horst
"Schermer, Franz Josef - Mader, Helmut - Strauß, Helmut",schermer franz josef  mader helmut  strau helmut
"Syska, Andreas",syska andreas
"Kohr, Leopold",kohr leopold
"Ascher, Ulrike",ascher ulrike
"Pantenburg, Volker",pantenburg volker
"Arnold, Karin - Dietrich, Volkmar - Eberle, Andreas - Grimmer, Andreas - Jenckel, Astrid - Karohs, Marianne - Labahn, Bettina",arnold karin  dietrich volkmar  eberle andreas  grimmer andreas  jenckel astrid  karohs marianne  labahn bettina
H. G. Wells,h g wells
"Sprengel-Henning, Christiane",sprengelhenning christiane
"Gropp, Ulrike",gropp ulrike
"Lassert, Ursula",lassert ursula
"Arnade, Sigrid - Heiden, Hans-Günter - Hermes, Gisela - Köbsell, Swantje",arnade sigrid  heiden hansgunter  hermes gisela  kobsell swantje
"Wetter, Edmund",wetter edmund
Áldássy Antal,aldassy antal
Kammerer Ernő,kammerer erno
Nemes-Dedinai Zsuffa Sándor,nemesdedinai zsuffa sandor
Krausz Péter (szerk.),krausz peter szerk
Des Freedman,des freedman
Frisnyák Zsuzsa,frisnyak zsuzsa
Nagy Gábor (szerk.),nagy gabor szerk
Botos János,botos janos
Fekete J. József,fekete j jozsef
Balogh Pál,balogh pal
Lukinich Imre,lukinich imre
Kőváry László,kovary laszlo
Szádeczky Lajos,szadeczky lajos
Fejér György,fejer gyorgy
Szabó Benő,szabo beno
Karcsú Antal Arzén,karcsu antal arzen
Szávay Gyula,szavay gyula
Kollányi Ferenc,kollanyi ferenc
Bedy Vince,bedy vince
Mocsáry Lajos,mocsary lajos
Reizner János,reizner janos
Széchy Károly,szechy karoly
Demkó Kálmán,demko kalman
Pesty Frigyes,pesty frigyes
Matunák Mihály,matunak mihaly
L. Ron Hubbard,l ron hubbard
Frontius Mátyás,frontius matyas
Villányi Szaniszló,villanyi szaniszlo
Fényes Elek,fenyes elek
Hatvani Mihály,hatvani mihaly
Alapy Gyula,alapy gyula
Hornyik János,hornyik janos
Forster Gyula (szerk.),forster gyula szerk
Jancsó Benedek,jancso benedek
Nagy Iván,nagy ivan
Nagy Imre,nagy imre
Barabás Samu,barabas samu
Rolf Viktor,rolf viktor
Kiss Zoltán,kiss zoltan
Robert Leinweber,robert leinweber
Dobos Balázs,dobos balazs
Ujváry Gábor (szerk.),ujvary gabor szerk
Hajnal Virág,hajnal virag
Schweitzer József (szerk.),schweitzer jozsef szerk
Nagy Éva (Szerk.),nagy eva szerk
dr. Károssy Csaba Ákos,dr karossy csaba akos
Dr. Péntek Kálmán,dr pentek kalman
Tóth Gáborné,toth gaborne
Hámori Antal,hamori antal
Wenzel Gusztáv,wenzel gusztav
Suzanne E. Evans,suzanne e evans
Dr. Vásárhelyi Tamás,dr vasarhelyi tamas
Sőregi János,soregi janos
Mészáros Károly,meszaros karoly
Galgóczy Károly,galgoczy karoly
Salamon Ferenc,salamon ferenc
Kiss Kálmán,kiss kalman
Bunyitai Vince,bunyitai vince
Bunyitay Vincze,bunyitay vincze
Hunfalvy Pál,hunfalvy pal
Jonathan Garfinkel,jonathan garfinkel
Teleki Domokos,teleki domokos
Thaly Kálmán,thaly kalman
Darkó Jenő,darko jeno
Zsilinszky Mihály,zsilinszky mihaly
Szendrei János,szendrei janos
Szeremlei Samu,szeremlei samu
Szabó György Piusz,szabo gyorgy piusz
Danzer F. Alfonz,danzer f alfonz
Meg Cabot,meg cabot
Kempelen Béla,kempelen bela
Csiziné Dr. Schlosser Annamária,csizine dr schlosser annamaria
Corina Yen,corina yen
Köpeczi Sebestyén József,kopeczi sebestyen jozsef
Báró Nyáry Albert,baro nyary albert
Hargittai István,hargittai istvan
Pusztai Gabriella,pusztai gabriella
Bánlaky József,banlaky jozsef
Thury József,thury jozsef
Dedek Crescens Lajos A karthausiak Magyaroszágban,dedek crescens lajos a karthausiak magyaroszagban
Kisbán Emil,kisban emil
Réső Ensel Sándor,reso ensel sandor
Andrew Nicoll,andrew nicoll
Potemkin Ödön,potemkin odon
Podhraczky József,podhraczky jozsef
Horváth Mihály,horvath mihaly
Rupp Jakab,rupp jakab
Deákné B. Katalin,deakne b katalin
Martos Levente Balázs,martos levente balazs
Illés György,illes gyorgy
Sörös W. Klára,soros w klara
Margaret Alice Murray,margaret alice murray
Bajnok Andrea,bajnok andrea
Hizsnyai Zoltán (összeáll.),hizsnyai zoltan osszeall
Sinkovits Péter,sinkovits peter
Persovits József,persovits jozsef
Harald Voetmann,harald voetmann
Dr. Németh Gábor,dr nemeth gabor
M. I. Filonyenko,m i filonyenko
Perendy László,perendy laszlo
Kék Emerencia,kek emerencia
Moldicz Csaba,moldicz csaba
Horváth Sándor,horvath sandor
Kosáryné Réz Lola,kosaryne rez lola
Antalóczy Zoltán,antaloczy zoltan
Antonio Casanova,antonio casanova
John Vaillant,john vaillant
H. Paul Jeffers,h paul jeffers
báró Radvánszky Béla,baro radvanszky bela
Budai Ferenc,budai ferenc
Hoffmann Arnold,hoffmann arnold
Bodonyi Ilona,bodonyi ilona
Chobot Ferenc,chobot ferenc
Dr. Lázár Gyula,dr lazar gyula
Madeleine Féret-Fleury,madeleine feretfleury
Prunella Bat,prunella bat
Justin Somper,justin somper
Csath Magdolna,csath magdolna
Hornyik Miklós,hornyik miklos
Nádasi Myrtill,nadasi myrtill
Kurt-Helmuth Eimuth,kurthelmuth eimuth
Fekete Judit,fekete judit
Németh László,nemeth laszlo
Odorics Ferenc,odorics ferenc
Bárdos-Féltoronyi Miklós,bardosfeltoronyi miklos
Gál Mihály,gal mihaly
Mándi Tibor,mandi tibor
Bőthe Csaba,bothe csaba
Simon Tamás,simon tamas
Noszlopi Botond,noszlopi botond
Giuseppe D'Andrea,giuseppe dandrea
Hesz Ágnes,hesz agnes
Isabel Abedi,isabel abedi
Novák Zoltán,novak zoltan
Hans Bankl,hans bankl
Mándy Iván,mandy ivan
L. Kovásznai Viktória,l kovasznai viktoria
Hajós Erika,hajos erika
Both Gabi,both gabi
Ormos Mária,ormos maria
Mocsáry Antal,mocsary antal
Balázsy Ferencz,balazsy ferencz
P. Botos Fortunát,p botos fortunat
Veronika E. Schmitt OCD,veronika e schmitt ocd
Károly Imre,karoly imre
Ady Endre,ady endre
Balázs F. Attila,balazs f attila
Rajsli Emese,rajsli emese
Rüsz-Fogarasi Enikő,ruszfogarasi eniko
Pap András László,pap andras laszlo
Asserman Ferenc,asserman ferenc
Ballagi Aladár,ballagi aladar
Karácson Imre,karacson imre
Ferdinandy György,ferdinandy gyorgy
Sr. Bridget OCD,sr bridget ocd
Szentirmai Imre,szentirmai imre
Petz Lajos,petz lajos
Csomor Lajos,csomor lajos
Fránek Dömötör,franek domotor
Olchváry Ödön,olchvary odon
Almásy Dénes,almasy denes
Thierry Amadé,thierry amade
Hunfalvy János,hunfalvy janos
Simándi Ágnes,simandi agnes
Dennis Shasha,dennis shasha
Simone Elkeles,simone elkeles
Krémer Ferenc,kremer ferenc
Luca Anna (szerk.),luca anna szerk
Hegyi Balázs,hegyi balazs
Gecse Géza,gecse geza
Tóthárpád Ferenc,totharpad ferenc
Gyurkovics Tibor,gyurkovics tibor
Kathrin Schrocke,kathrin schrocke
Maureen Johnson,maureen johnson
Molnár Gyöngyvér,molnar gyongyver
