Cover_Type;Cover_Type_Std
Antikvár könyv;antikvar konyv
Szállító: Antiquarium Hungaricum Kft.;szallito antiquarium hungaricum kft
Szállító: Antikvár Könyvkínáló;szallito antikvar konyvkinalo
kartonált, spriálfűzött;kartonalt sprialfuzott
selyem;selyem
Típus: DVD;tipus dvd
Képformátum: 16:9 - 1.85:1;kepformatum 169  1851
Típus: BLU-RAY;tipus bluray
Lemezek száma: 1;lemezek szama 1
Képformátum: 4:3;kepformatum 43
Képformátum: 16:9;kepformatum 169
Magasság - 21 cm;magassag  21 cm
Magyar - Angol - Német nyelven;magyar  angol  nemet nyelven
Játékidő: 60 perc;jatekido 60 perc
Nyelvtan;nyelvtan
Lemezek száma: 5;lemezek szama 5
Képformátum: 16:9 - 1.78:1;kepformatum 169  1781
Típus: DVD Audió;tipus dvd audio
Lemezek száma: 3;lemezek szama 3
Típus: 2CD+DVD;tipus 2cddvd
Képformátum: 4:3 - 1.33:1;kepformatum 43  1331
flexibilis karton;flexibilis karton
cérnafűzött, oromszegős, könyvjelzővel ellátott;cernafuzott oromszegos konyvjelzovel ellatott
