page;rank;title;author;publisher;price;score;reviews;language;pages;edition;code;category
1037;62223;Adventures in a TV Nation;Michael Moore;Macmillan-Heinemann, 2003;Előjegyezhető;0.0;0.0;ISBN: 0330427660;;;;Idegen nyelvű > English books > Fiction > Novels > Short Stories
1037;62230;A SLIDE AND SURPRISE ALPHABET BOOK;;;23.04;0.0;0.0;magyar;14.0;ISBN: 9781849152907;;Idegen nyelvű > Egyéb idegen nyelvű > Angol > Gyermekkönyvek > Egyéb
1037;62232;Too Good To Be True;Sheila O' Flanagan;Headline, 2004;Előjegyezhető;0.0;0.0;ISBN: 0755323807;;;;Idegen nyelvű > English books > Fiction > Science Fiction, Fantasy
1037;62258;Az Isten háta fekete 1-2.;Kárpáti Kamil;Stádium Nyomda, 2002;34.23;0.0;0.0;fűzve;;;;
1037;62270;Ein Seemann Von Welt;P. Howard;Elfenbein, 2004;101.43;0.0;0.0;ISBN: 9783932245640;;;;Idegen nyelvű > Deutsche Bücher > Belletristik > Romane > Erzählungen
1037;62273;Moment Mal! 1 Arbeitsbuch;Lemcke-Müller-Rusch;Librotrade Kft., 1999;Előjegyezhető;0.0;0.0;ISBN: 346847752X;;;;Idegen nyelvű > Deutsche Bücher > Schule und Lernen > Deutsch als Fremdsprache
1037;62277;Hornblower Y La Atropos;Forester C.S.;Quinteto, 2007;50.79;0.0;0.0;ISBN: 9788497110433;;;;Idegen nyelvű > Egyéb idegen nyelvű > Spanyol
1038;62284;Moment Mal! 1 Lehrbuch;Müller-Rusch-Schmidt;Librotrade Kft., 1999;Előjegyezhető;0.0;0.0;ISBN: 3468477511;;;;Idegen nyelvű > Deutsche Bücher > Schule und Lernen > Deutsch als Fremdsprache
1038;62295;Hangos recept;B. Király Györgyi;;Előjegyezhető;0.0;0.0;magyar;256.0;ISBN: 9639410172;;
1039;62374;A XX. századi spanyol-amerikai kisérletező novella - Antologia del cuento experimental hispanoamérico;;Eötvös József Könyvkiadó, 2000;Előjegyezhető;0.0;0.0;magyar;212.0;fűzve;9639024872;
1039;62375;Sherlock Holmes nyomoz - A krimi gyöngyszemei;Arthur Conan Doyle;Pécsi Direkt Kft., 2006;Előjegyezhető;0.0;0.0;magyar;323.0;vászon;9633694175;
1039;62377;Mi a ...(füttyöt) tudunk?! - Fedezd fel a végtelen lehetőségeket;Vicente, Mark;Ezvankiadó Kft., 2007;Előjegyezhető;0.0;0.0;magyar;284.0;puhatáblás, ragasztókötött;9789638725134;
1040;62426;Jegyre megy - Matematika 8. munkafüzet és algebra tudástár - Matematika gyakorló munkafüzet 8. osztályos tanulók számára, algebra képlet és szabálygyűjtemény;Tanja Koncan;Raabe Klett Kft., 2009;18.70;0.0;0.0;magyar;56.0;irkafűzött;5999550890474;
1040;62428;Vond ki! - Könyv a kivonásról - letörlhető varázstollal;;Novum Kiadó, 2008;20.68;0.0;0.0;magyar;18.0;ragasztott;9789639859203;
1040;62430;Európai utasok - A vasfüggönyön innen és túl;;Magánkiadás, 2004;30.34;0.0;0.0;magyar;376.0;kötve;9637058400;
1040;62431;Az irracionalitás problémája a XVII. századi esztétikában és logikában - Az ítélőerő kritikájáig;Baeumler, Alfred;Enciklopédia Kiadó, 2002;25.98;0.0;0.0;magyar;300.0;fűzve;9789638477613;
1040;62434;Elmélet/ irodalom/ történet - A komparatív megértés lehetőségei;;Tiszatáji Alapítvány, 2004;21.82;0.0;0.0;magyar;282.0;puhatáblás, ragasztókötött;9789638496393;
1040;62435;Iratok a magyar-szovjet kapcsolatok történetéhez - 1944. október-1948. június - Dokumentumok;;Gondolat-Infonia, 2005;Előjegyezhető;0.0;0.0;magyar;384.0;cérnafűzött, keménytáblás;9639567981;
1040;62438;Fókuszban a gasztroenterológia - Hatóanyagok, készítmények, terápia;;Melinda Kft., 2006;57.48;0.0;0.0;magyar;152.0;fűzve;;
1040;62440;Tavaszi vizek - Első szerelem;Ivan Szergejevics Turgenyev;Kossuth Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;192.0;cérnafűzött, keménytáblás;9789630948029;
1043;62616;A csillagok - Mi micsoda 3.;Haber, Heinz;Babilon Kiadó, 2007;Előjegyezhető;0.0;0.0;magyar;48.0;cérnafűzött, keménytáblás;9789639182820;
1043;62627;Oxford Concise Dictionary of the Christian Church;E. A. Livingstone;Librotrade Kft., 2004;42.68;0.0;0.0;ISBN: 0192800574;;;;Idegen nyelvű > Egyéb idegen nyelvű > Angol > Vallás
1043;62630;THE STRANGE CASE OF DR. JEKILL AND MR HYDE/LEVEL 5;Robert Louis Stevenson;Penguin Books, 2000;12.89;0.0;0.0;ISBN: 9780582427457;;;;
1044;62644;A sorsunk - A Janus Pannonius Társaság folyóirata;;Pannónia Könyvek;;0.0;0.0;magyar;376.0;kemény kötés;9789639079946;
1044;62653;Műszaki rajz I. osztály - Mechanikai, villamos, vegyészeti, biomechanikai és geológiai-földmérési-vízügyi szakcsoport;Dr. Biszterszky Elemér;Műszaki Könyvkiadó, 2005;57.76;0.0;0.0;magyar;202.0;papír / puha kötés;9789631618242;
1045;62750;Biser ob Donavi Budimpesta - Budapest - A Duna gyöngyszeme - BUDIMPESTA BISETR OB DONAVI;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;0.0;0.0;magyar;32.0;irkafűzött;9789637587115;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
1046;62770;A költészet szerelmese;Willnernétakács Margit;Accordia Kiadó, 2002;9.66;0.0;0.0;magyar;111.0;puhatáblás, ragasztókötött;9639242780;
1046;62774;Das Deutschmobil Kazetta 2.;;Raabe Klett Kft., 1996;22.22;0.0;0.0;ISBN: 3126750532;;;;
1046;62780;Nyitott átjáróház - A szerző válogatása életművéből;Kárpáti Kamil;Trikolor Könyvkiadó Kft., 2006;31.78;0.0;0.0;magyar;352.0;fűzve;9638618957;
1046;62789;Születéskalauz '99 Mo-i Szülészeti Int. Szolg.;;MÉRCE EGYESÜLET, 1999;12.22;0.0;0.0;ISBN: 9630361140;;;;
1046;62791;Cambridge Preparation for the Toefl Cass /4/.;;Librotrade Kft., 1999;109.38;0.0;0.0;ISBN: 0521577705;;;;
1046;62793;Project 1. Class. Cass. 2.;;Librotrade Kft., 1999;38.83;0.0;0.0;ISBN: 0194354342;;;;
1046;62794;Ó, örök Isten - Versek a magyar irodalomból;L.dala Mária;Auktor Könyvkiadó, 2002;15.89;0.0;0.0;magyar;64.0;díszkötés;9789637780844;
1046;62796;SECOND FOUNDATION - FOUNDATION SERIES 4.;;Harper Collins, 1995;29.21;0.0;0.0;magyar;240.0;fűzve;9780586017135;Idegen nyelvű > Egyéb idegen nyelvű > Angol > Világirodalom > Sci-fi, fantasy
1047;62845;Az álomutazó + A szeretettolvajok;Kalas Zsuzsa;KOLIBRI GYEREKKÖNYVKIADÓ KFT, 2014;Előjegyezhető;0.0;0.0;ISBN: 5998644104220;;;;
1048;62911;Wunder der Natur in Ungarn;Moldován Tamás;Athenaeum Kiadó, 2002;Előjegyezhető;0.0;0.0;magyar;128.0;fűzve;963947102X;Idegen nyelvű > Deutsche Bücher > Mathematik, Naturwissenschaften, Technik, Medizin > Biologie > Botanik
1048;62924;Séta a múltban;Kenézheka Etelka;Bába és Társai Kiadó, 2003;20.68;0.0;0.0;magyar;148.0;puhatáblás, ragasztókötött;9789639511064;
1048;62930;Kárpitos gépek és technológiák I.;Zámbó László;Műszaki Könyvkiadó, 2005;Előjegyezhető;0.0;0.0;magyar;158.0;papír / puha kötés;9789631616699;
1049;62953;Matematika 5-6. - Feladatgyűjtemény 5-6. osztály;Etal.;Műszaki Könyvkiadó, 2014;14.67;0.0;0.0;magyar;300.0;papír / puha kötés;9789631641905;
1049;62954;Matematika 7-8. - Feladatgyűjtemény 7-8. osztály;Etal.;Műszaki Könyvkiadó, 2010;Előjegyezhető;0.0;0.0;magyar;308.0;papír / puha kötés;9789631642124;
1049;62990;Grillezés - Dr. Oetker - Erkélyen és kertben a legjobb receptek szerint;;Grafo Kiadó, 2000;20.37;0.0;0.0;magyar;136.0;cérnafűzött, keménytáblás;;
1049;62997;Készüljünk a vizsgára I. - ECDL, érettségi, OKJ;Bozó Mária;Műszaki Könyvkiadó, 2006;Előjegyezhető;0.0;0.0;magyar;512.0;kötve;9789631629231;
1050;63010;Könyvhét 2008. május 9-10.szám;;Kiss József Könyvkiadó, 2008;Előjegyezhető;0.0;0.0;magyar;44.0;fűzve;;
1050;63013;Kézzel kötött napló - Autós - B/5;;BRIELLA KFT, 2011;Előjegyezhető;0.0;0.0;ragasztott;;;;
1050;63015;Kézzel kötött napló - Bicajos - B/8;;BRIELLA KFT, 2011;Előjegyezhető;0.0;0.0;ragasztott;;;;
1050;63016;Kézzel kötött napló - Virágos - B/8;;BRIELLA KFT, 2011;Előjegyezhető;0.0;0.0;ragasztott;;;;
1050;63020;A filozófiában jeleskedők élete és nézetei tíz könyvben - 1. kötet 1-5. könyv;Laertiosz, Diogenész;Jel Kiadó, 2005;30.55;0.0;0.0;magyar;260.0;papír / puha kötés;9799639318853;
1050;63029;Gépfenntartás I.;Dr. Janik József;Szaktudás Kiadó Ház Rt., 2003;35.90;0.0;0.0;magyar;208.0;kötve;9789639422643;
1050;63058;Természet és társadalomismeret - Általános iskola 3.osztály;Dr. Miklovicz Árpád;Nemzeti Tankönyvkiadó, 2003;Előjegyezhető;0.0;0.0;magyar;96.0;fűzve;9789631946642;
1051;63062;Gombák I. - Rétek,legelők és pázsitok gombái;Dr. Rimóczi Imre;Kossuth Kiadó, 2004;Előjegyezhető;0.0;0.0;magyar;112.0;kötve;;
1051;63063;Özönnövények a Tisza mentén - Képes zsebhatározó;Schmotzer András;SZÖVETSÉG AZ ÉLŐ TISZÁÉRT, 2008;;0.0;0.0;magyar;24.0;lapozó;9789630652377;
1051;63073;Matematika 1. - Második kötet;Dr. Koller Lászlóné;Műszaki Könyvkiadó, 2004;Előjegyezhető;0.0;0.0;magyar;152.0;fűzve;9631627284;
1051;63090;MATEMATIKA 8. FELADATAINAK MEGOLDÁSA;Dr. Czeglédy István;Calibra Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;286.0;fűzve;9789631629798;
1051;63091;A kétszintű szóbeli matematika érettségi kézikönyv;Dr. Gerőcs László;DFT-HUNGÁRIA LAPKIADÓ KFT., 2005;Előjegyezhető;0.0;0.0;magyar;108.0;fűzve;9789639473690;
1051;63092;Irodalmi atlaszkönyvek 9. évfolyam munkafüzet - Szöveggyűjtemény;Somos Béla;Nemzeti Tankönyvkiadó, 2005;Előjegyezhető;0.0;0.0;magyar;320.0;karton;9631955338;
1051;63093;A kétszintű matematika érettségi próbaérettségi nagykönyve - Emelt szint;Dr. Gerőcs László;DFT-HUNGÁRIA LAPKIADÓ KFT., 2004;Előjegyezhető;0.0;0.0;magyar;76.0;fűzve;9789639473362;
1051;63115;Kútja a régi szerelemnek;Somos Béla;SOMOS BÉLA MAGÁNKIADÓ;3.10;0.0;0.0;ISBN: 9630463717;;;;
1051;63117;NEOCLASSICISM AND ROMANTICISM - MIDI;;H. F. Ullmann, 2007;67.49;0.0;0.0;magyar;520.0;ISBN: 9783833135569;;
1052;63126;A Könyvmolyképző titkai;Katona Ildikó;Könyvmolyképző Kiadó Kft., 2012;Előjegyezhető;0.0;0.0;karton;;;;
1052;63144;Üvegszilánkkönny - Angyalszárny-trilógia 1. rész;Csejk Miklós;KÁVÉFORRÁS KIADÓ, 2011;;0.0;0.0;magyar;238.0;puhatáblás, ragasztókötött;9789630812184;
1052;63152;Újra itt a Télapó!;Caramel;EX-BB Kiadói Kft., 2010;22.89;0.0;0.0;irkafűzött;;;;
1052;63155;A boldogság kék egén - Régi történet;Kathy Nike;Alfadat-Press, 2010;51.94;0.0;0.0;magyar;138.0;puhatáblás, ragasztókötött;9789638103819;
1056;63363;Ez itt szem, a felemelkedőknek;Nagy Péter;Magánkiadás, 2003;35.45;0.0;0.0;magyar;236.0;fűzve;9634305830;
1056;63370;Intelligent Business Interm. CB. CD /2/;;Longman, 2006;73.87;0.0;0.0;ISBN: 9780582840522;;;;
1056;63388;Tilos gyümölcsön;;ÚJ HORIZONT FOLYÓI. ÉS KÖNYVKIADÓ A, 2002;12.22;0.0;0.0;magyar;128.0;puhatáblás, ragasztókötött;9638246146;
1056;63392;Matters Elementary Class Cass. /2./;;Librotrade Kft., 1999;57.95;0.0;0.0;ISBN: 0582273803;;;;
1056;63396;Le Nouveau Sans Frontieres 1. Cass.;;Librotrade Kft., 2001;36.27;0.0;0.0;ISBN: 2190325013;;;;
1056;63403;The T-Series MGS;Robson, Graham;MARÓTI AUTÓMÜSZAKI KÖNYVKERESK;76.40;0.0;0.0;ISBN: 0900549513;;;;
1058;63484;A boldog élet útmutatója, avagy - A vallás tana;Johann Gottlieb Fichte;Szent István Társulat, 2010;24.94;0.0;0.0;magyar;280.0;puhatáblás, ragasztókötött;9789632772189;
1058;63519;"""Mint észrevétlenül..."" - Középiskolások, egyetemisták írásai a holokausztról";;Savaria University Press, 2014;Előjegyezhető;0.0;0.0;magyar;80.0;papír / puha kötés;9786155251429;
1058;63520;La femme magazin - V. évfolyam 2013. ősz;;SILVER KIADÓ KFT., 2013;Előjegyezhető;0.0;0.0;magyar;128.0;puhatáblás, ragasztókötött;;
1058;63528;Jegyre megy - Matematika 7. munkafüzet és algebra tudástár - Matematika gyakorló munkafüzet 7. osztályos tanulók számára, algebra képlet és szabálygyűjtemény;Tanja Koncan;Raabe Klett Kft., 2009;35.23;0.0;0.0;magyar;68.0;irkafűzött;5999550890467;
1058;63531;A sors őrzői - Ascalon, a mágikus paripa;Felten, Monika;Naphold.net Kiadó, 2008;23.38;0.0;0.0;magyar;224.0;cérnafűzött, keménytáblás;9788089381036;
1058;63533;Salman Rushdie díszdoboz - Sálímár bohóc + Az éjfél gyermekei + Hárún és a mesék tengere + A mór utolsó sóhaja + Szégyen;Salman Rushdie;Ulpius-ház, 2008;103.89;0.0;0.0;díszdobozban;;;;
1058;63540;Emberközpontú gazdaságot - Élet-világ sorozat 3. kötete;;Heti Válasz Kiadó, 2002;Előjegyezhető;0.0;0.0;magyar;134.0;kötve;9638625996;
1059;63541;Globalizáció a jog tükrében - A gazdaság jogi elemzése;Galgano, Francesco;HVG-Orac Kft., 2006;Előjegyezhető;0.0;0.0;magyar;202.0;puhatáblás, ragasztókötött;9637490418;
1059;63572;Family magazin - 2012/1 (február-március-április) - Családi és párkapcsolati magazin;;Harmat Kiadó, 2012;Előjegyezhető;0.0;0.0;magyar;66.0;irkafűzött;5999883910115;
1059;63574;William Wilberforce, a rabszolgafelszabadító;Bingham, Derick;Harmat Kiadó, 2005;Előjegyezhető;0.0;0.0;ISBN: 9789639564329;;;;
1059;63585;Káposztát a Királynak!;Plass, Adrian;Harmat Kiadó, 2004;Előjegyezhető;0.0;0.0;magyar;174.0;fűzve;9789639564251;
1060;63621;Képmás 2024/9 - Magazin nőknek és férfiaknak;;Képmás 2002 Kft., 2024;14.45;0.0;0.0;magyar;106.0;ragasztott;2050000093685;
1060;63622;Képmás 2024/6 - Magazin nőknek és férfiaknak;;Képmás 2002 Kft., 2024;14.45;0.0;0.0;magyar;98.0;ragasztott;2050000092695;
