Genre1;Genre1_Std
Alte tehnologii;alte tehnologii
Agricultura;agricultura
Dreptul mediului, transport;dreptul mediului transport
Problemele tinerilor;problemele tinerilor
Hobby, jocuri;hobby jocuri
Prima pagina;prima pagina
Tehnici de desen;tehnici de desen
Lifestyle digital;lifestyle digital
Lifestyle, fashion;lifestyle fashion
Aparare nationala;aparare nationala
Iudaism;iudaism
Clasa I - Limba engleza;clasa i  limba engleza
Pop;pop
Relatii publice;relatii publice
Jocuri in limba romana;jocuri in limba romana
Macmillan Education;macmillan education
Auxiliare - Clasa a II-a;auxiliare  clasa a iia
Geografie;geografie
Clasa a VI-a - Geografie;clasa a via  geografie
Stiinte exacte. Matematici;stiinte exacte matematici
Romantici;romantici
Farmacologie;farmacologie
Blues;blues
Programare, dezvoltare;programare dezvoltare
Clasa a XII-a - Limba engleza;clasa a xiia  limba engleza
Lumanari;lumanari
Computere si internet;computere si internet
Raftul The Power of Storytelling;raftul the power of storytelling
Chimie;chimie
Gradinita - Arte vizuale;gradinita  arte vizuale
Limbi straine;limbi straine
Electronica si comunicatii;electronica si comunicatii
Antichitati, colectii;antichitati colectii
Arheologie;arheologie
Semiotica;semiotica
Medicina veterinara;medicina veterinara
Clasa a XI-a - Informatica si TIC;clasa a xia  informatica si tic
Opera;opera
Atlase, harti, referinte geografice;atlase harti referinte geografice
Carti de colorat pentru adulti;carti de colorat pentru adulti
Constructii;constructii
Puzzle pentru copii;puzzle pentru copii
Dance Pop;dance pop
Clasa a V-a - Limba germana;clasa a va  limba germana
Clasa a XI-a - Sociologie;clasa a xia  sociologie
Various Artists;various artists
Solo, instrumentala;solo instrumentala
Electro;electro
Alternative Rock;alternative rock
Tehnica si tehnologie;tehnica si tehnologie
Literatura;literatura
Chirurgie;chirurgie
Gradinita - Stiinte ale naturii;gradinita  stiinte ale naturii
Cambridge University Press;cambridge university press
Jucarii diverse;jucarii diverse
Actiune, aventuri;actiune aventuri
Gradinita - Educatie civica;gradinita  educatie civica
Politica si diplomatie;politica si diplomatie
Stomatologie;stomatologie
Clasa a VI-a - Biologie;clasa a via  biologie
Mecanica si stiinta materialelor;mecanica si stiinta materialelor
Arta;arta
Arts;arts
Clasa a II-a - Matematica;clasa a iia  matematica
Raftul Harry Potter;raftul harry potter
Clasa a VIII-a - Limba si literatura romana;clasa a viiia  limba si literatura romana
Drama;drama
Raftul LGBTQI;raftul lgbtqi
